Возраст	Город	Дата	Кол-во работающих	Образование	Профессия	Регион	Филиал
21	Казань	1.10.16	1,00	Среднее-специальное	Менеджер	Приволжский	Казанский
38	Казань	1.10.16	1,00	Среднее-специальное	кредитный инспектор	Приволжский	Казанский
34	Казань	1.10.16	1,00	Среднее-специальное	кредитный инспектор	Приволжский	Казанский
19	Казань	1.10.16	1,00	Среднее-специальное	Кассир	Приволжский	Казанский
36	Казань	1.10.16	1,00	Среднее-специальное	Кассир	Приволжский	Казанский
22	Казань	1.10.16	1,00	Среднее-специальное	иенеджер по работе с клиентами	Приволжский	Казанский
24	Казань	1.10.16	1,00	Среднее-специальное	иенеджер по работе с клиентами	Приволжский	Казанский
32	Казань	1.10.16	1,00	Среднее-специальное	иенеджер по работе с клиентами	Приволжский	Казанский
36	Казань	1.10.16	1,00	Среднее-специальное	операционист	Приволжский	Казанский
28	Казань	1.10.16	1,00	Среднее-специальное	экономист	Приволжский	Казанский
38	Казань	1.10.16	1,00	Среднее-специальное	экономист	Приволжский	Казанский
22	Казань	1.10.16	1,00	Среднее-специальное	экономист	Приволжский	Казанский
25	Казань	1.10.16	1,00	Среднее-специальное	трейдер	Приволжский	Казанский
28	Волгоград	1.10.16	1,00	Среднее-специальное	Бухгалтер	Южный	Волгоградск
29	Волгоград	1.10.16	1,00	Среднее-специальное	Менеджер	Южный	Волгоградск
25	Волгоград	1.10.16	1,00	Среднее-специальное	Менеджер	Южный	Волгоградск
19	Волгоград	1.10.16	1,00	Среднее-специальное	Менеджер	Южный	Волгоградск
36	Волгоград	1.10.16	1,00	Среднее-специальное	кредитный инспектор	Южный	Волгоградск
24	Волгоград	1.10.16	1,00	Среднее-специальное	кредитный инспектор	Южный	Волгоградск
40	Волгоград	1.10.16	1,00	Среднее-специальное	кредитный инспектор	Южный	Волгоградск
25	Волгоград	1.10.16	1,00	Среднее-специальное	Кассир	Южный	Волгоградск
42	Волгоград	1.10.16	1,00	Среднее-специальное	Кассир	Южный	Волгоградск
18	Волгоград	1.10.16	1,00	Среднее-специальное	иенеджер по работе с клиентами	Южный	Волгоградск
22	Волгоград	1.10.16	1,00	Среднее-специальное	иенеджер по работе с клиентами	Южный	Волгоградск
19	Волгоград	1.10.16	1,00	Среднее-специальное	иенеджер по работе с клиентами	Южный	Волгоградск
20	Волгоград	1.10.16	1,00	Среднее-специальное	иенеджер по работе с клиентами	Южный	Волгоградск
51	Волгоград	1.10.16	1,00	Среднее-специальное	трейдер	Южный	Волгоградск
33	Москва	1.10.16	1,00	Среднее-специальное	Старший менеджер	Центральный	Московский
28	Москва	1.10.16	1,00	Среднее-специальное	Менеджер	Центральный	Московский
24	Москва	1.10.16	1,00	Среднее-специальное	иенеджер по работе с клиентами	Центральный	Московский
22	Москва	1.10.16	1,00	Среднее-специальное	иенеджер по работе с клиентами	Центральный	Московский
29	Москва	1.10.16	1,00	Среднее-специальное	трейдер	Центральный	Московский
39	Ростов-на-Дону	1.10.16	1,00	Среднее-специальное	управляющий отделением	Южный	Ростовский1
40	Ростов-на-Дону	1.10.16	1,00	Среднее-специальное	Бухгалтер	Южный	Ростовский1
21	Ростов-на-Дону	1.10.16	1,00	Среднее-специальное	Менеджер	Южный	Ростовский1
21	Ростов-на-Дону	1.10.16	1,00	Среднее-специальное	Менеджер	Южный	Ростовский1
32	Ростов-на-Дону	1.10.16	1,00	Среднее-специальное	кредитный инспектор	Южный	Ростовский1
35	Ростов-на-Дону	1.10.16	1,00	Среднее-специальное	Кассир	Южный	Ростовский1
20	Ростов-на-Дону	1.10.16	1,00	Среднее-специальное	иенеджер по работе с клиентами	Южный	Ростовский1
33	Ростов-на-Дону	1.10.16	1,00	Среднее-специальное	операционист	Южный	Ростовский1
48	Ростов-на-Дону	1.10.16	1,00	Среднее-специальное	управляющий отделением	Южный	Ростовский2
35	Ростов-на-Дону	1.10.16	1,00	Среднее-специальное	Бухгалтер	Южный	Ростовский2
44	Ростов-на-Дону	1.10.16	1,00	Среднее-специальное	Старший менеджер	Южный	Ростовский2
19	Ростов-на-Дону	1.10.16	1,00	Среднее-специальное	кредитный инспектор	Южный	Ростовский2
27	Ростов-на-Дону	1.10.16	1,00	Среднее-специальное	Кассир	Южный	Ростовский2
35	Ростов-на-Дону	1.10.16	1,00	Среднее-специальное	Кассир	Южный	Ростовский2
39	Ростов-на-Дону	1.10.16	1,00	Обязательное	экономист	Южный	Ростовский2
29	Ростов-на-Дону	1.10.16	1,00	Обязательное	трейдер	Южный	Ростовский2
27	Москва	4.10.16	1,00	Обязательное	зам. управляющего	Центральный	Главный
26	Москва	4.10.16	1,00	Обязательное	Бухгалтер	Центральный	Главный
23	Москва	4.10.16	1,00	Обязательное	Менеджер	Центральный	Главный
32	Москва	4.10.16	1,00	Обязательное	Менеджер	Центральный	Главный
45	Москва	4.10.16	1,00	Обязательное	начальник кредитного отдела	Центральный	Главный
19	Москва	4.10.16	1,00	Обязательное	кредитный инспектор	Центральный	Главный
23	Москва	4.10.16	1,00	Обязательное	Кассир	Центральный	Главный
36	Москва	4.10.16	1,00	Обязательное	Кассир	Центральный	Главный
25	Москва	4.10.16	1,00	Обязательное	иенеджер по работе с клиентами	Центральный	Главный
24	Москва	4.10.16	1,00	Обязательное	иенеджер по работе с клиентами	Центральный	Главный
37	Москва	4.10.16	1,00	Обязательное	операционист	Центральный	Главный
19	Москва	4.10.16	1,00	Обязательное	операционист	Центральный	Главный
30	Москва	4.10.16	1,00	Обязательное	трейдер	Центральный	Главный
29	Москва	4.10.16	1,00	Обязательное	начальник отдела	Центральный	Главный
32	Пермь	4.10.16	1,00	Обязательное	Менеджер	Приволжский	Пермский
25	Пермь	4.10.16	1,00	Обязательное	Менеджер	Приволжский	Пермский
25	Пермь	4.10.16	1,00	Обязательное	Менеджер	Приволжский	Пермский
44	Пермь	4.10.16	1,00	Обязательное	кредитный инспектор	Приволжский	Пермский
29	Пермь	4.10.16	1,00	Обязательное	кредитный инспектор	Приволжский	Пермский
43	Пермь	4.10.16	1,00	Обязательное	Кассир	Приволжский	Пермский
29	Пермь	4.10.16	1,00	Обязательное	Кассир	Приволжский	Пермский
25	Пермь	4.10.16	1,00	Обязательное	иенеджер по работе с клиентами	Приволжский	Пермский
24	Пермь	4.10.16	1,00	Обязательное	иенеджер по работе с клиентами	Приволжский	Пермский
37	Пермь	4.10.16	1,00	Обязательное	операционист	Приволжский	Пермский
41	Пермь	4.10.16	1,00	Обязательное	операционист	Приволжский	Пермский
31	Пермь	4.10.16	1,00	Обязательное	экономист	Приволжский	Пермский
43	Пермь	4.10.16	1,00	Обязательное	трейдер	Приволжский	Пермский
39	Казань	4.10.16	1,00	Обязательное	управляющий отделением	Приволжский	Казанский
20	Казань	4.10.16	1,00	Обязательное	Менеджер	Приволжский	Казанский
40	Казань	4.10.16	1,00	Обязательное	Менеджер	Приволжский	Казанский
37	Казань	4.10.16	1,00	Обязательное	начальник кредитного отдела	Приволжский	Казанский
22	Казань	4.10.16	1,00	Обязательное	кредитный инспектор	Приволжский	Казанский
31	Казань	4.10.16	1,00	Обязательное	кредитный инспектор	Приволжский	Казанский
39	Казань	4.10.16	1,00	Обязательное	Кассир	Приволжский	Казанский
32	Казань	4.10.16	1,00	Обязательное	Кассир	Приволжский	Казанский
46	Казань	4.10.16	1,00	Обязательное	Кассир	Приволжский	Казанский
19	Казань	4.10.16	1,00	Обязательное	иенеджер по работе с клиентами	Приволжский	Казанский
18	Казань	4.10.16	1,00	Обязательное	иенеджер по работе с клиентами	Приволжский	Казанский
45	Казань	4.10.16	1,00	Обязательное	операционист	Приволжский	Казанский
28	Казань	4.10.16	1,00	Обязательное	операционист	Приволжский	Казанский
31	Казань	4.10.16	1,00	Обязательное	трейдер	Приволжский	Казанский
36	Казань	4.10.16	1,00	Обязательное	трейдер	Приволжский	Казанский
37	Волгоград	4.10.16	1,00	Обязательное	управляющий отделением	Южный	Волгоградск
29	Волгоград	4.10.16	1,00	Обязательное	Старший менеджер	Южный	Волгоградск
45	Волгоград	4.10.16	1,00	Обязательное	начальник кредитного отдела	Южный	Волгоградск
33	Волгоград	4.10.16	1,00	Обязательное	Кассир	Южный	Волгоградск
28	Волгоград	4.10.16	1,00	Обязательное	Кассир	Южный	Волгоградск
27	Волгоград	4.10.16	1,00	Обязательное	операционист	Южный	Волгоградск
26	Волгоград	4.10.16	1,00	Обязательное	операционист	Южный	Волгоградск
45	Волгоград	4.10.16	1,00	Обязательное	экономист	Южный	Волгоградск
42	Москва	4.10.16	1,00	Обязательное	управляющий отделением	Центральный	Московский
29	Москва	4.10.16	1,00	Обязательное	Бухгалтер	Центральный	Московский
35	Москва	4.10.16	1,00	Обязательное	кредитный инспектор	Центральный	Московский
27	Москва	4.10.16	1,00	Обязательное	Кассир	Центральный	Московский
29	Москва	4.10.16	1,00	Обязательное	Кассир	Центральный	Московский
37	Москва	4.10.16	1,00	Обязательное	операционист	Центральный	Московский
41	Москва	4.10.16	1,00	Обязательное	экономист	Центральный	Московский
25	Ростов-на-Дону	4.10.16	1,00	Обязательное	Старший менеджер	Южный	Ростовский1
36	Ростов-на-Дону	4.10.16	1,00	Обязательное	начальник кредитного отдела	Южный	Ростовский1
44	Ростов-на-Дону	4.10.16	1,00	Обязательное	Кассир	Южный	Ростовский1
19	Ростов-на-Дону	4.10.16	1,00	Обязательное	иенеджер по работе с клиентами	Южный	Ростовский1
41	Ростов-на-Дону	4.10.16	1,00	Обязательное	экономист	Южный	Ростовский1
35	Ростов-на-Дону	4.10.16	1,00	Обязательное	трейдер	Южный	Ростовский1
26	Ростов-на-Дону	4.10.16	1,00	Обязательное	Менеджер	Южный	Ростовский2
24	Ростов-на-Дону	4.10.16	1,00	Обязательное	Менеджер	Южный	Ростовский2
36	Ростов-на-Дону	4.10.16	1,00	Обязательное	начальник кредитного отдела	Южный	Ростовский2
20	Ростов-на-Дону	4.10.16	1,00	Обязательное	иенеджер по работе с клиентами	Южный	Ростовский2
19	Ростов-на-Дону	4.10.16	1,00	Обязательное	иенеджер по работе с клиентами	Южный	Ростовский2
36	Ростов-на-Дону	4.10.16	1,00	Обязательное	операционист	Южный	Ростовский2
40	Москва	7.10.16	1,00	Обязательное	Бухгалтер	Центральный	Главный
28	Москва	7.10.16	1,00	Обязательное	Бухгалтер	Центральный	Главный
22	Москва	7.10.16	1,00	Обязательное	Менеджер	Центральный	Главный
26	Москва	7.10.16	1,00	Обязательное	Менеджер	Центральный	Главный
40	Москва	7.10.16	1,00	Обязательное	кредитный инспектор	Центральный	Главный
29	Москва	7.10.16	1,00	Обязательное	кредитный инспектор	Центральный	Главный
35	Москва	7.10.16	1,00	Обязательное	Старший кассир	Центральный	Главный
24	Москва	7.10.16	1,00	Обязательное	Кассир	Центральный	Главный
39	Москва	7.10.16	1,00	Обязательное	Кассир	Центральный	Главный
29	Москва	7.10.16	1,00	Обязательное	иенеджер по работе с клиентами	Центральный	Главный
24	Москва	7.10.16	1,00	Обязательное	иенеджер по работе с клиентами	Центральный	Главный
41	Москва	7.10.16	1,00	Обязательное	операционист	Центральный	Главный
40	Москва	7.10.16	1,00	Обязательное	экономист	Центральный	Главный
39	Москва	7.10.16	1,00	Обязательное	трейдер	Центральный	Главный
25	Москва	7.10.16	1,00	Обязательное	начальник отдела	Центральный	Главный
28	Москва	7.10.16	1,00	Обязательное	Ситстемный администратор	Центральный	Главный
31	Пермь	7.10.16	1,00	Обязательное	Менеджер	Приволжский	Пермский
19	Пермь	7.10.16	1,00	Обязательное	Менеджер	Приволжский	Пермский
25	Пермь	7.10.16	1,00	Обязательное	Менеджер	Приволжский	Пермский
41	Пермь	7.10.16	1,00	Обязательное	кредитный инспектор	Приволжский	Пермский
32	Пермь	7.10.16	1,00	Обязательное	кредитный инспектор	Приволжский	Пермский
31	Пермь	7.10.16	1,00	Обязательное	Кассир	Приволжский	Пермский
40	Пермь	7.10.16	1,00	Обязательное	Кассир	Приволжский	Пермский
22	Пермь	7.10.16	1,00	Обязательное	иенеджер по работе с клиентами	Приволжский	Пермский
21	Пермь	7.10.16	1,00	Обязательное	иенеджер по работе с клиентами	Приволжский	Пермский
41	Пермь	7.10.16	1,00	Обязательное	иенеджер по работе с клиентами	Приволжский	Пермский
29	Пермь	7.10.16	1,00	Обязательное	операционист	Приволжский	Пермский
45	Пермь	7.10.16	1,00	Обязательное	экономист	Приволжский	Пермский
29	Пермь	7.10.16	1,00	Обязательное	трейдер	Приволжский	Пермский
31	Пермь	7.10.16	1,00	Обязательное	трейдер	Приволжский	Пермский
41	Казань	7.10.16	1,00	Обязательное	Бухгалтер	Приволжский	Казанский
25	Казань	7.10.16	1,00	Обязательное	Менеджер	Приволжский	Казанский
36	Казань	7.10.16	1,00	Обязательное	начальник кредитного отдела	Приволжский	Казанский
27	Казань	7.10.16	1,00	Обязательное	Кассир	Приволжский	Казанский
33	Казань	7.10.16	1,00	Обязательное	Кассир	Приволжский	Казанский
24	Казань	7.10.16	1,00	Обязательное	иенеджер по работе с клиентами	Приволжский	Казанский
19	Казань	7.10.16	1,00	Обязательное	операционист	Приволжский	Казанский
22	Казань	7.10.16	1,00	Обязательное	экономист	Приволжский	Казанский
40	Казань	7.10.16	1,00	Обязательное	экономист	Приволжский	Казанский
33	Казань	7.10.16	1,00	Обязательное	трейдер	Приволжский	Казанский
29	Волгоград	7.10.16	1,00	Обязательное	Бухгалтер	Южный	Волгоградск
25	Волгоград	7.10.16	1,00	Обязательное	Менеджер	Южный	Волгоградск
36	Волгоград	7.10.16	1,00	Обязательное	Кассир	Южный	Волгоградск
29	Волгоград	7.10.16	1,00	Обязательное	Кассир	Южный	Волгоградск
18	Волгоград	7.10.16	1,00	Обязательное	иенеджер по работе с клиентами	Южный	Волгоградск
18	Волгоград	7.10.16	1,00	Обязательное	иенеджер по работе с клиентами	Южный	Волгоградск
25	Волгоград	7.10.16	1,00	Обязательное	операционист	Южный	Волгоградск
36	Волгоград	7.10.16	1,00	Обязательное	трейдер	Южный	Волгоградск
27	Москва	7.10.16	1,00	Обязательное	Менеджер	Центральный	Московский
30	Москва	7.10.16	1,00	Обязательное	Менеджер	Центральный	Московский
24	Москва	7.10.16	1,00	Обязательное	кредитный инспектор	Центральный	Московский
35	Москва	7.10.16	1,00	Обязательное	Кассир	Центральный	Московский
19	Москва	7.10.16	1,00	Обязательное	иенеджер по работе с клиентами	Центральный	Московский
22	Москва	7.10.16	1,00	Обязательное	операционист	Центральный	Московский
29	Ростов-на-Дону	7.10.16	1,00	Обязательное	Бухгалтер	Южный	Ростовский1
45	Ростов-на-Дону	7.10.16	1,00	Обязательное	кредитный инспектор	Южный	Ростовский1
19	Ростов-на-Дону	7.10.16	1,00	Обязательное	иенеджер по работе с клиентами	Южный	Ростовский1
32	Ростов-на-Дону	7.10.16	1,00	Обязательное	Менеджер	Южный	Ростовский2
25	Ростов-на-Дону	7.10.16	1,00	Обязательное	Менеджер	Южный	Ростовский2
36	Ростов-на-Дону	7.10.16	1,00	Обязательное	Кассир	Южный	Ростовский2
25	Ростов-на-Дону	7.10.16	1,00	Обязательное	Кассир	Южный	Ростовский2
40	Ростов-на-Дону	7.10.16	1,00	Обязательное	экономист	Южный	Ростовский2
39	Ростов-на-Дону	7.10.16	1,00	Обязательное	трейдер	Южный	Ростовский2
35	Москва	10.10.16	1,00	Обязательное	Главный бухгалтер	Центральный	Главный
29	Москва	10.10.16	1,00	Обязательное	Старший менеджер	Центральный	Главный
25	Москва	10.10.16	1,00	Высшее	Менеджер	Центральный	Главный
29	Москва	10.10.16	1,00	Высшее	Менеджер	Центральный	Главный
33	Москва	10.10.16	1,00	Высшее	кредитный инспектор	Центральный	Главный
34	Москва	10.10.16	1,00	Высшее	кредитный инспектор	Центральный	Главный
29	Москва	10.10.16	1,00	Высшее	Кассир	Центральный	Главный
24	Москва	10.10.16	1,00	Высшее	Кассир	Центральный	Главный
39	Москва	10.10.16	1,00	Высшее	Кассир	Центральный	Главный
22	Москва	10.10.16	1,00	Высшее	иенеджер по работе с клиентами	Центральный	Главный
26	Москва	10.10.16	1,00	Высшее	иенеджер по работе с клиентами	Центральный	Главный
30	Москва	10.10.16	1,00	Высшее	иенеджер по работе с клиентами	Центральный	Главный
41	Москва	10.10.16	1,00	Высшее	операционист	Центральный	Главный
29	Москва	10.10.16	1,00	Высшее	экономист	Центральный	Главный
36	Москва	10.10.16	1,00	Высшее	экономист	Центральный	Главный
40	Москва	10.10.16	1,00	Высшее	трейдер	Центральный	Главный
29	Москва	10.10.16	1,00	Высшее	трейдер	Центральный	Главный
33	Пермь	10.10.16	1,00	Высшее	Менеджер	Приволжский	Пермский
34	Пермь	10.10.16	1,00	Высшее	кредитный инспектор	Приволжский	Пермский
30	Пермь	10.10.16	1,00	Высшее	кредитный инспектор	Приволжский	Пермский
29	Пермь	10.10.16	1,00	Высшее	Кассир	Приволжский	Пермский
36	Пермь	10.10.16	1,00	Высшее	Кассир	Приволжский	Пермский
19	Пермь	10.10.16	1,00	Высшее	иенеджер по работе с клиентами	Приволжский	Пермский
18	Пермь	10.10.16	1,00	Высшее	иенеджер по работе с клиентами	Приволжский	Пермский
23	Пермь	10.10.16	1,00	Высшее	операционист	Приволжский	Пермский
41	Пермь	10.10.16	1,00	Высшее	операционист	Приволжский	Пермский
36	Пермь	10.10.16	1,00	Высшее	экономист	Приволжский	Пермский
35	Пермь	10.10.16	1,00	Высшее	экономист	Приволжский	Пермский
50	Казань	10.10.16	1,00	Высшее	Старший менеджер	Приволжский	Казанский
29	Казань	10.10.16	1,00	Высшее	Менеджер	Приволжский	Казанский
27	Казань	10.10.16	1,00	Высшее	Менеджер	Приволжский	Казанский
41	Казань	10.10.16	1,00	Высшее	кредитный инспектор	Приволжский	Казанский
29	Казань	10.10.16	1,00	Высшее	Кассир	Приволжский	Казанский
30	Казань	10.10.16	1,00	Высшее	Кассир	Приволжский	Казанский
31	Казань	10.10.16	1,00	Высшее	Кассир	Приволжский	Казанский
19	Казань	10.10.16	1,00	Высшее	иенеджер по работе с клиентами	Приволжский	Казанский
19	Казань	10.10.16	1,00	Высшее	иенеджер по работе с клиентами	Приволжский	Казанский
22	Казань	10.10.16	1,00	Высшее	иенеджер по работе с клиентами	Приволжский	Казанский
25	Казань	10.10.16	1,00	Высшее	иенеджер по работе с клиентами	Приволжский	Казанский
31	Казань	10.10.16	1,00	Высшее	операционист	Приволжский	Казанский
35	Казань	10.10.16	1,00	Высшее	операционист	Приволжский	Казанский
30	Казань	10.10.16	1,00	Высшее	экономист	Приволжский	Казанский
40	Казань	10.10.16	1,00	Высшее	трейдер	Приволжский	Казанский
21	Казань	10.10.16	1,00	Высшее	трейдер	Приволжский	Казанский
40	Волгоград	10.10.16	1,00	Высшее	управляющий отделением	Южный	Волгоградск
39	Волгоград	10.10.16	1,00	Высшее	Старший менеджер	Южный	Волгоградск
25	Волгоград	10.10.16	1,00	Высшее	Менеджер	Южный	Волгоградск
25	Волгоград	10.10.16	1,00	Высшее	Менеджер	Южный	Волгоградск
40	Волгоград	10.10.16	1,00	Высшее	начальник кредитного отдела	Южный	Волгоградск
19	Волгоград	10.10.16	1,00	Высшее	Кассир	Южный	Волгоградск
20	Волгоград	10.10.16	1,00	Высшее	Кассир	Южный	Волгоградск
22	Волгоград	10.10.16	1,00	Высшее	иенеджер по работе с клиентами	Южный	Волгоградск
26	Волгоград	10.10.16	1,00	Высшее	иенеджер по работе с клиентами	Южный	Волгоградск
40	Волгоград	10.10.16	1,00	Высшее	операционист	Южный	Волгоградск
29	Волгоград	10.10.16	1,00	Высшее	экономист	Южный	Волгоградск
30	Москва	10.10.16	1,00	Высшее	Бухгалтер	Центральный	Московский
29	Москва	10.10.16	1,00	Высшее	Старший менеджер	Центральный	Московский
40	Москва	10.10.16	1,00	Высшее	начальник кредитного отдела	Центральный	Московский
41	Москва	10.10.16	1,00	Высшее	Кассир	Центральный	Московский
19	Москва	10.10.16	1,00	Высшее	иенеджер по работе с клиентами	Центральный	Московский
35	Москва	10.10.16	1,00	Высшее	экономист	Центральный	Московский
28	Москва	10.10.16	1,00	Высшее	трейдер	Центральный	Московский
27	Ростов-на-Дону	10.10.16	1,00	Высшее	Менеджер	Южный	Ростовский1
36	Ростов-на-Дону	10.10.16	1,00	Высшее	Менеджер	Южный	Ростовский1
21	Ростов-на-Дону	10.10.16	1,00	Высшее	Кассир	Южный	Ростовский1
26	Ростов-на-Дону	10.10.16	1,00	Высшее	Кассир	Южный	Ростовский1
29	Ростов-на-Дону	10.10.16	1,00	Высшее	иенеджер по работе с клиентами	Южный	Ростовский1
41	Ростов-на-Дону	10.10.16	1,00	Высшее	операционист	Южный	Ростовский1
30	Ростов-на-Дону	10.10.16	1,00	Высшее	экономист	Южный	Ростовский1
33	Ростов-на-Дону	10.10.16	1,00	Высшее	трейдер	Южный	Ростовский1
31	Ростов-на-Дону	10.10.16	1,00	Высшее	начальник кредитного отдела	Южный	Ростовский2
32	Ростов-на-Дону	10.10.16	1,00	Высшее	иенеджер по работе с клиентами	Южный	Ростовский2
19	Ростов-на-Дону	10.10.16	1,00	Высшее	иенеджер по работе с клиентами	Южный	Ростовский2
25	Ростов-на-Дону	10.10.16	1,00	Высшее	операционист	Южный	Ростовский2
