Сумма кредита	Срок кредита	Дата кредитования	Цель кредитования	Возраст	Пол	Образование	Квартира	Машина	Срок эксплуатации машины	Загородный дом	Гараж	Должность	Срок работы на предприятии	Срок проживания в регионе	Давать кредит
15500	12	06.01.03	Покупка товара	57	Жен	специальное	Нет	Нет автомобиля	1	Нет	Да	неруководящая	4	33	Нет
13500	6	06.01.03	Покупка и ремонт недвижимости	29	Жен	специальное	Да	импортная	9	Нет	Нет	неруководящая	1	22	Да
11000	6	06.01.03	Покупка и ремонт недвижимости	46	Муж	специальное	Нет	отечественная	3	Нет	Да	неруководящая	3	30	Да
5000	6	06.01.03	Покупка товара	44	Муж	специальное	Да	Нет автомобиля	3	Да	Нет	руководящая	3	21	Да
9500	6	07.01.03	Покупка и ремонт недвижимости	24	Жен	специальное	Да	отечественная	3	Нет	Да	неруководящая	1	6	Да
20500	18	07.01.03	Покупка товара	36	Жен	специальное	Нет	Нет автомобиля	2	Да	Нет	неруководящая	3	30	Нет
18500	6	07.01.03	Оплата за образование	25	Муж	специальное	Да	Нет автомобиля	2	Нет	Да	неруководящая	4	8	Да
36500	18	07.01.03	Покупка и ремонт недвижимости	50	Муж	среднее	Да	импортная	2	Нет	Нет	неруководящая	2	22	Нет
15500	12	07.01.03	Покупка товара	55	Муж	специальное	Нет	отечественная	1	Нет	Нет	неруководящая	2	33	Да
30500	12	07.01.03	Турпоездки, развлечения и т.п.	20	Муж	специальное	Да	отечественная	2	Нет	Да	неруководящая	5	12	Нет
19000	12	07.01.03	Покупка и ремонт недвижимости	34	Муж	специальное	Нет	отечественная	5	Нет	Да	неруководящая	4	19	Нет
17000	12	07.01.03	Покупка и ремонт недвижимости	53	Жен	специальное	Да	отечественная	5	Нет	Нет	неруководящая	4	22	Нет
22000	12	07.01.03	Покупка товара	39	Муж	высшее	Да	отечественная	1	Нет	Да	руководящая	3	15	Нет
31000	18	07.01.03	Оплата услуг (мед., юрид. и т.п.)	37	Муж	специальное	Нет	импортная	5	Нет	Да	неруководящая	4	20	Да
12000	6	07.01.03	Покупка и ремонт недвижимости	22	Муж	специальное	Нет	импортная	3	Нет	Нет	неруководящая	4	16	Да
13500	12	07.01.03	Покупка товара	41	Муж	специальное	Нет	импортная	4	Да	Нет	неруководящая	4	23	Нет
16500	12	07.01.03	Покупка товара	44	Жен	специальное	Нет	отечественная	2	Да	Нет	руководящая	5	26	Нет
34500	24	08.01.03	Оплата за образование	26	Муж	специальное	Да	отечественная	4	Нет	Да	неруководящая	5	14	Нет
6000	6	08.01.03	Покупка товара	22	Муж	специальное	Нет	импортная	1	Да	Да	неруководящая	4	2	Да
51000	30	08.01.03	Покупка и ремонт недвижимости	51	Муж	высшее	Да	импортная	3	Нет	Да	неруководящая	4	23	Нет
16000	12	08.01.03	Иное	25	Жен	специальное	Да	отечественная	7	Да	Нет	неруководящая	5	19	Нет
19000	18	08.01.03	Оплата за образование	27	Жен	специальное	Да	отечественная	3	Нет	Да	руководящая	3	13	Нет
63000	36	08.01.03	Покупка товара	41	Жен	высшее	Да	импортная	8	Нет	Да	неруководящая	4	20	Нет
3000	6	08.01.03	Покупка товара	49	Муж	специальное	Да	отечественная	3	Нет	Нет	неруководящая	1	32	Да
30000	12	08.01.03	Покупка и ремонт недвижимости	34	Жен	специальное	Нет	отечественная	7	Да	Нет	неруководящая	3	13	Нет
38500	18	08.01.03	Покупка товара	31	Жен	высшее	Да	отечественная	8	Нет	Нет	неруководящая	2	16	Нет
13000	6	08.01.03	Покупка и ремонт недвижимости	25	Жен	высшее	Нет	отечественная	14	Да	Нет	неруководящая	4	5	Да
27500	18	08.01.03	Покупка и ремонт недвижимости	19	Жен	высшее	Нет	импортная	7	Нет	Да	неруководящая	3	6	Нет
50000	24	08.01.03	Иное	19	Муж	высшее	Да	отечественная	7	Да	Нет	руководящая	3	4	Нет
9000	6	08.01.03	Покупка и ремонт недвижимости	67	Жен	среднее	Да	импортная	3	Да	Да	неруководящая	5	33	Да
43000	36	09.01.03	Оплата за образование	54	Жен	специальное	Нет	отечественная	10	Да	Да	неруководящая	3	29	Нет
2500	6	09.01.03	Оплата услуг (мед., юрид. и т.п.)	34	Муж	среднее	Нет	отечественная	7	Да	Да	руководящая	4	15	Нет
48500	24	09.01.03	Покупка товара	30	Жен	специальное	Нет	отечественная	3	Да	Нет	неруководящая	3	14	Нет
45500	30	09.01.03	Оплата за образование	23	Жен	среднее	Нет	отечественная	1	Да	Да	неруководящая	3	8	Нет
32000	12	09.01.03	Оплата услуг (мед., юрид. и т.п.)	23	Жен	среднее	Да	Нет автомобиля	3	Нет	Да	неруководящая	3	9	Нет
2500	6	09.01.03	Оплата услуг (мед., юрид. и т.п.)	46	Муж	высшее	Да	отечественная	8	Нет	Нет	руководящая	4	34	Нет
6500	6	09.01.03	Оплата услуг (мед., юрид. и т.п.)	28	Муж	специальное	Нет	отечественная	3	Нет	Да	неруководящая	2	12	Да
13500	12	09.01.03	Оплата услуг (мед., юрид. и т.п.)	61	Муж	специальное	Да	Нет автомобиля	2	Нет	Нет	неруководящая	4	25	Да
31500	24	09.01.03	Оплата за образование	22	Муж	специальное	Да	импортная	7	Нет	Да	неруководящая	2	8	Нет
6000	6	09.01.03	Иное	30	Муж	специальное	Нет	отечественная	1	Нет	Да	неруководящая	3	12	Нет
28000	18	09.01.03	Покупка и ремонт недвижимости	38	Муж	специальное	Да	отечественная	1	Нет	Да	неруководящая	3	24	Нет
13500	6	09.01.03	Покупка товара	43	Жен	специальное	Да	отечественная	9	Нет	Нет	руководящая	5	27	Да
19500	12	09.01.03	Оплата за образование	28	Муж	специальное	Да	Нет автомобиля	2	Нет	Нет	неруководящая	4	14	Да
18000	6	10.01.03	Покупка товара	30	Жен	специальное	Да	отечественная	4	Нет	Да	неруководящая	5	15	Да
45000	24	10.01.03	Турпоездки, развлечения и т.п.	32	Жен	высшее	Да	отечественная	3	Да	Да	руководящая	4	14	Нет
20000	12	10.01.03	Покупка товара	24	Жен	специальное	Нет	отечественная	13	Да	Нет	руководящая	2	5	Да
38000	30	10.01.03	Турпоездки, развлечения и т.п.	65	Муж	специальное	Нет	отечественная	3	Нет	Да	неруководящая	4	35	Нет
14500	12	10.01.03	Иное	25	Муж	специальное	Да	отечественная	3	Нет	Да	неруководящая	2	12	Нет
17000	12	10.01.03	Иное	20	Муж	высшее	Нет	отечественная	4	Да	Да	руководящая	3	11	Нет
5500	6	10.01.03	Покупка товара	47	Муж	специальное	Нет	Нет автомобиля	6	Да	Нет	неруководящая	3	20	Нет
19500	18	10.01.03	Покупка товара	25	Жен	специальное	Нет	отечественная	1	Нет	Да	руководящая	2	20	Нет
37000	24	10.01.03	Оплата услуг (мед., юрид. и т.п.)	30	Жен	специальное	Да	отечественная	2	Нет	Нет	неруководящая	3	27	Да
15500	12	10.01.03	Покупка товара	37	Муж	среднее	Нет	отечественная	4	Нет	Да	неруководящая	3	18	Нет
21000	12	10.01.03	Покупка товара	30	Муж	специальное	Да	Нет автомобиля	2	Нет	Нет	неруководящая	4	16	Нет
23500	12	10.01.03	Покупка и ремонт недвижимости	30	Жен	специальное	Нет	отечественная	1	Нет	Нет	неруководящая	2	13	Да
3500	6	10.01.03	Оплата за образование	23	Муж	высшее	Нет	импортная	1	Нет	Нет	неруководящая	3	13	Нет
31500	18	11.01.03	Покупка товара	34	Жен	специальное	Нет	отечественная	9	Да	Да	неруководящая	4	23	Нет
25000	18	11.01.03	Покупка товара	48	Муж	специальное	Нет	импортная	5	Да	Да	неруководящая	4	19	Нет
17000	6	11.01.03	Покупка товара	24	Муж	среднее	Да	отечественная	3	Да	Да	неруководящая	2	11	Да
38000	18	11.01.03	Покупка и ремонт недвижимости	44	Муж	специальное	Да	отечественная	2	Да	Да	неруководящая	2	27	Нет
9000	6	11.01.03	Оплата услуг (мед., юрид. и т.п.)	26	Жен	среднее	Да	Нет автомобиля	5	Нет	Да	неруководящая	3	17	Да
29500	18	11.01.03	Оплата за образование	21	Муж	высшее	Да	импортная	7	Да	Да	руководящая	4	14	Нет
12000	12	11.01.03	Покупка товара	23	Муж	специальное	Нет	отечественная	3	Нет	Нет	неруководящая	4	3	Нет
19000	12	11.01.03	Оплата за образование	48	Муж	высшее	Да	отечественная	9	Да	Да	неруководящая	2	17	Нет
7500	6	11.01.03	Покупка товара	30	Муж	специальное	Да	отечественная	3	Нет	Да	неруководящая	5	15	Да
5500	6	11.01.03	Оплата услуг (мед., юрид. и т.п.)	49	Муж	специальное	Да	Нет автомобиля	3	Нет	Нет	неруководящая	2	22	Нет
53500	42	11.01.03	Покупка товара	39	Муж	специальное	Да	импортная	6	Нет	Нет	неруководящая	4	22	Нет
10000	12	11.01.03	Покупка товара	41	Жен	специальное	Да	отечественная	1	Нет	Нет	неруководящая	4	21	Нет
34500	24	11.01.03	Покупка и ремонт недвижимости	22	Жен	специальное	Нет	Нет автомобиля	2	Нет	Нет	неруководящая	2	17	Нет
42000	30	12.01.03	Покупка товара	20	Муж	высшее	Нет	Нет автомобиля	10	Нет	Нет	неруководящая	3	5	Нет
31000	18	12.01.03	Покупка и ремонт недвижимости	53	Муж	высшее	Нет	Нет автомобиля	5	Да	Нет	неруководящая	4	26	Нет
34500	24	12.01.03	Оплата услуг (мед., юрид. и т.п.)	23	Жен	специальное	Да	отечественная	5	Нет	Да	руководящая	3	8	Нет
16000	12	12.01.03	Покупка товара	46	Муж	высшее	Да	импортная	8	Нет	Да	руководящая	3	25	Нет
19000	12	12.01.03	Покупка и ремонт недвижимости	35	Жен	высшее	Да	отечественная	7	Нет	Да	неруководящая	4	23	Нет
17000	12	12.01.03	Оплата услуг (мед., юрид. и т.п.)	36	Муж	специальное	Да	отечественная	3	Да	Да	неруководящая	4	10	Да
