Дата	Раздел	Подраздел	Статья	Баланс
28.02.2014	Пассив	Прочие обязательства	Акционерный капитал	-54790,00
31.03.2014	Актив	Оборотные средства	Касса	46822,00
31.03.2014	Актив	Оборотные средства	Дебиторская задолженность	50329,00
31.03.2014	Актив	Оборотные средства	Материально-производственные запасы	8677,00
31.03.2014	Актив	Оборотные средства	Уплаченные ранее расходы и другое	36572,00
31.03.2014	Актив	Оборотные средства	Отсроченный налог на прибыль	67733,00
31.03.2014	Актив	Прочие активы	Имущество и оборудование	45232,00
31.03.2014	Актив	Прочие активы	Отсроченный налог на прибыль	1010,00
31.03.2014	Актив	Прочие активы	Прочие необоротные фонды	37917,00
31.03.2014	Пассив	Краткосрочные обязательства	Кредиторская задолженность	-82115,00
31.03.2014	Пассив	Краткосрочные обязательства	Прочие краткосрочные обязательства	-77806,00
31.03.2014	Пассив	Прочие обязательства	Долгосрочная задолженность	-85628,00
31.03.2014	Пассив	Прочие обязательства	Акционерный капитал	-48743,00
30.04.2014	Актив	Оборотные средства	Касса	56691,00
30.04.2014	Актив	Оборотные средства	Дебиторская задолженность	58590,00
30.04.2014	Актив	Оборотные средства	Материально-производственные запасы	12995,00
30.04.2014	Актив	Оборотные средства	Уплаченные ранее расходы и другое	4278,00
30.04.2014	Актив	Оборотные средства	Отсроченный налог на прибыль	15820,00
30.04.2014	Актив	Прочие активы	Имущество и оборудование	46788,00
30.04.2014	Актив	Прочие активы	Отсроченный налог на прибыль	34384,00
30.04.2014	Актив	Прочие активы	Прочие необоротные фонды	20433,00
30.04.2014	Пассив	Краткосрочные обязательства	Кредиторская задолженность	-47300,00
30.04.2014	Пассив	Краткосрочные обязательства	Прочие краткосрочные обязательства	-81020,00
30.04.2014	Пассив	Прочие обязательства	Долгосрочная задолженность	-56843,00
30.04.2014	Пассив	Прочие обязательства	Акционерный капитал	-64816,00
31.05.2014	Актив	Оборотные средства	Касса	70505,00
31.05.2014	Актив	Оборотные средства	Дебиторская задолженность	42396,00
31.05.2014	Актив	Оборотные средства	Материально-производственные запасы	33973,00
31.05.2014	Актив	Оборотные средства	Уплаченные ранее расходы и другое	40266,00
31.05.2014	Актив	Оборотные средства	Отсроченный налог на прибыль	34309,00
31.05.2014	Актив	Прочие активы	Имущество и оборудование	25300,00
31.05.2014	Актив	Прочие активы	Отсроченный налог на прибыль	43932,00
31.05.2014	Актив	Прочие активы	Прочие необоротные фонды	20946,00
31.05.2014	Пассив	Краткосрочные обязательства	Кредиторская задолженность	-59494,00
31.05.2014	Пассив	Краткосрочные обязательства	Прочие краткосрочные обязательства	-86084,00
31.05.2014	Пассив	Прочие обязательства	Долгосрочная задолженность	-87989,00
31.05.2014	Пассив	Прочие обязательства	Акционерный капитал	-78060,00
30.06.2014	Актив	Оборотные средства	Касса	47877,00
30.06.2014	Актив	Оборотные средства	Дебиторская задолженность	47929,00
30.06.2014	Актив	Оборотные средства	Материально-производственные запасы	29834,00
30.06.2014	Актив	Оборотные средства	Уплаченные ранее расходы и другое	16919,00
30.06.2014	Актив	Оборотные средства	Отсроченный налог на прибыль	41972,00
30.06.2014	Актив	Прочие активы	Имущество и оборудование	24664,00
30.06.2014	Актив	Прочие активы	Отсроченный налог на прибыль	39625,00
30.06.2014	Актив	Прочие активы	Прочие необоротные фонды	11755,00
30.06.2014	Пассив	Краткосрочные обязательства	Кредиторская задолженность	-41399,00
30.06.2014	Пассив	Краткосрочные обязательства	Прочие краткосрочные обязательства	-96607,00
30.06.2014	Пассив	Прочие обязательства	Долгосрочная задолженность	-50479,00
30.06.2014	Пассив	Прочие обязательства	Акционерный капитал	-72090,00
31.07.2014	Актив	Оборотные средства	Касса	49805,00
31.07.2014	Актив	Оборотные средства	Дебиторская задолженность	48785,00
31.07.2014	Актив	Оборотные средства	Материально-производственные запасы	22035,00
31.07.2014	Актив	Оборотные средства	Уплаченные ранее расходы и другое	25831,00
31.07.2014	Актив	Оборотные средства	Отсроченный налог на прибыль	22033,00
31.07.2014	Актив	Прочие активы	Имущество и оборудование	31934,00
31.07.2014	Актив	Прочие активы	Отсроченный налог на прибыль	43682,00
31.07.2014	Актив	Прочие активы	Прочие необоротные фонды	26647,00
31.07.2014	Пассив	Краткосрочные обязательства	Кредиторская задолженность	-69973,00
31.07.2014	Пассив	Краткосрочные обязательства	Прочие краткосрочные обязательства	-61154,00
31.07.2014	Пассив	Прочие обязательства	Долгосрочная задолженность	-43163,00
31.07.2014	Пассив	Прочие обязательства	Акционерный капитал	-96462,00
31.08.2014	Актив	Оборотные средства	Касса	67939,00
31.08.2014	Актив	Оборотные средства	Дебиторская задолженность	29635,00
31.08.2014	Актив	Оборотные средства	Материально-производственные запасы	44252,00
31.08.2014	Актив	Оборотные средства	Уплаченные ранее расходы и другое	1934,00
31.08.2014	Актив	Оборотные средства	Отсроченный налог на прибыль	36887,00
31.08.2014	Актив	Прочие активы	Имущество и оборудование	25917,00
31.08.2014	Актив	Прочие активы	Отсроченный налог на прибыль	41560,00
31.08.2014	Актив	Прочие активы	Прочие необоротные фонды	11772,00
31.08.2014	Пассив	Краткосрочные обязательства	Кредиторская задолженность	-68866,00
31.08.2014	Пассив	Краткосрочные обязательства	Прочие краткосрочные обязательства	-53741,00
31.08.2014	Пассив	Прочие обязательства	Долгосрочная задолженность	-69692,00
31.08.2014	Пассив	Прочие обязательства	Акционерный капитал	-67597,00
30.09.2014	Актив	Оборотные средства	Касса	61775,00
30.09.2014	Актив	Оборотные средства	Дебиторская задолженность	30222,00
30.09.2014	Актив	Оборотные средства	Материально-производственные запасы	6407,00
30.09.2014	Актив	Оборотные средства	Уплаченные ранее расходы и другое	22211,00
30.09.2014	Актив	Оборотные средства	Отсроченный налог на прибыль	48557,00
30.09.2014	Актив	Прочие активы	Имущество и оборудование	35057,00
30.09.2014	Актив	Прочие активы	Отсроченный налог на прибыль	52171,00
30.09.2014	Актив	Прочие активы	Прочие необоротные фонды	16629,00
30.09.2014	Пассив	Краткосрочные обязательства	Кредиторская задолженность	-49428,00
30.09.2014	Пассив	Краткосрочные обязательства	Прочие краткосрочные обязательства	-72202,00
30.09.2014	Пассив	Прочие обязательства	Долгосрочная задолженность	-53355,00
30.09.2014	Пассив	Прочие обязательства	Акционерный капитал	-98044,00
31.10.2014	Актив	Оборотные средства	Касса	48822,00
31.10.2014	Актив	Оборотные средства	Дебиторская задолженность	24178,00
31.10.2014	Актив	Оборотные средства	Материально-производственные запасы	28605,00
31.10.2014	Актив	Оборотные средства	Уплаченные ранее расходы и другое	26501,00
31.10.2014	Актив	Оборотные средства	Отсроченный налог на прибыль	42275,00
31.10.2014	Актив	Прочие активы	Имущество и оборудование	41480,00
31.10.2014	Актив	Прочие активы	Отсроченный налог на прибыль	30433,00
31.10.2014	Актив	Прочие активы	Прочие необоротные фонды	25640,00
31.10.2014	Пассив	Краткосрочные обязательства	Кредиторская задолженность	-65756,00
31.10.2014	Пассив	Краткосрочные обязательства	Прочие краткосрочные обязательства	-64215,00
31.10.2014	Пассив	Прочие обязательства	Долгосрочная задолженность	-74080,00
31.10.2014	Пассив	Прочие обязательства	Акционерный капитал	-63883,00
30.11.2014	Актив	Оборотные средства	Касса	67026,00
30.11.2014	Актив	Оборотные средства	Дебиторская задолженность	54257,00
30.11.2014	Актив	Оборотные средства	Материально-производственные запасы	8456,00
30.11.2014	Актив	Оборотные средства	Уплаченные ранее расходы и другое	51930,00
30.11.2014	Актив	Оборотные средства	Отсроченный налог на прибыль	6217,00
30.11.2014	Актив	Прочие активы	Имущество и оборудование	36363,00
30.11.2014	Актив	Прочие активы	Отсроченный налог на прибыль	31907,00
30.11.2014	Актив	Прочие активы	Прочие необоротные фонды	45687,00
30.11.2014	Пассив	Краткосрочные обязательства	Кредиторская задолженность	-50045,00
30.11.2014	Пассив	Краткосрочные обязательства	Прочие краткосрочные обязательства	-69537,00
30.11.2014	Пассив	Прочие обязательства	Долгосрочная задолженность	-85403,00
30.11.2014	Пассив	Прочие обязательства	Акционерный капитал	-96858,00
31.12.2014	Актив	Оборотные средства	Касса	65137,00
31.12.2014	Актив	Оборотные средства	Дебиторская задолженность	48908,00
31.12.2014	Актив	Оборотные средства	Материально-производственные запасы	1302,00
31.12.2014	Актив	Оборотные средства	Уплаченные ранее расходы и другое	39141,00
31.12.2014	Актив	Оборотные средства	Отсроченный налог на прибыль	16930,00
31.12.2014	Актив	Прочие активы	Имущество и оборудование	13918,00
31.12.2014	Актив	Прочие активы	Отсроченный налог на прибыль	22843,00
31.12.2014	Актив	Прочие активы	Прочие необоротные фонды	27537,00
31.12.2014	Пассив	Краткосрочные обязательства	Кредиторская задолженность	-50555,00
31.12.2014	Пассив	Краткосрочные обязательства	Прочие краткосрочные обязательства	-89541,00
31.12.2014	Пассив	Прочие обязательства	Долгосрочная задолженность	-26784,00
31.12.2014	Пассив	Прочие обязательства	Акционерный капитал	-68836,00
31.01.2015	Актив	Оборотные средства	Касса	71996,00
31.01.2015	Актив	Оборотные средства	Дебиторская задолженность	58898,00
31.01.2015	Актив	Оборотные средства	Материально-производственные запасы	43448,00
31.01.2015	Актив	Оборотные средства	Уплаченные ранее расходы и другое	14880,00
31.01.2015	Актив	Оборотные средства	Отсроченный налог на прибыль	42402,00
31.01.2015	Актив	Прочие активы	Имущество и оборудование	40340,00
31.01.2015	Актив	Прочие активы	Отсроченный налог на прибыль	28910,00
31.01.2015	Актив	Прочие активы	Прочие необоротные фонды	37088,00
31.01.2015	Пассив	Краткосрочные обязательства	Кредиторская задолженность	-80578,00
31.01.2015	Пассив	Краткосрочные обязательства	Прочие краткосрочные обязательства	-72295,00
31.01.2015	Пассив	Прочие обязательства	Долгосрочная задолженность	-88873,00
31.01.2015	Пассив	Прочие обязательства	Акционерный капитал	-96216,00
28.02.2015	Актив	Оборотные средства	Касса	46363,00
28.02.2015	Актив	Оборотные средства	Дебиторская задолженность	16760,00
28.02.2015	Актив	Оборотные средства	Материально-производственные запасы	27558,00
28.02.2015	Актив	Оборотные средства	Уплаченные ранее расходы и другое	72825,00
28.02.2015	Актив	Оборотные средства	Отсроченный налог на прибыль	5954,00
28.02.2015	Актив	Прочие активы	Имущество и оборудование	41285,00
28.02.2015	Актив	Прочие активы	Отсроченный налог на прибыль	15002,00
28.02.2015	Актив	Прочие активы	Прочие необоротные фонды	33701,00
28.02.2015	Пассив	Краткосрочные обязательства	Кредиторская задолженность	-72988,00
28.02.2015	Пассив	Краткосрочные обязательства	Прочие краткосрочные обязательства	-99802,00
28.02.2015	Пассив	Прочие обязательства	Долгосрочная задолженность	-6726,00
28.02.2015	Пассив	Прочие обязательства	Акционерный капитал	-79932,00
31.03.2015	Актив	Оборотные средства	Касса	76559,00
31.03.2015	Актив	Оборотные средства	Дебиторская задолженность	73669,00
31.03.2015	Актив	Оборотные средства	Материально-производственные запасы	62030,00
31.03.2015	Актив	Оборотные средства	Уплаченные ранее расходы и другое	40864,00
31.03.2015	Актив	Оборотные средства	Отсроченный налог на прибыль	19874,00
31.03.2015	Актив	Прочие активы	Имущество и оборудование	7257,00
31.03.2015	Актив	Прочие активы	Отсроченный налог на прибыль	4775,00
31.03.2015	Актив	Прочие активы	Прочие необоротные фонды	21832,00
31.03.2015	Пассив	Краткосрочные обязательства	Кредиторская задолженность	-56033,00
31.03.2015	Пассив	Краткосрочные обязательства	Прочие краткосрочные обязательства	-93670,00
31.03.2015	Пассив	Прочие обязательства	Долгосрочная задолженность	-75996,00
31.03.2015	Пассив	Прочие обязательства	Акционерный капитал	-81161,00
30.04.2015	Актив	Оборотные средства	Касса	53621,00
30.04.2015	Актив	Оборотные средства	Дебиторская задолженность	52714,00
30.04.2015	Актив	Оборотные средства	Материально-производственные запасы	7249,00
30.04.2015	Актив	Оборотные средства	Уплаченные ранее расходы и другое	36381,00
30.04.2015	Актив	Оборотные средства	Отсроченный налог на прибыль	40160,00
30.04.2015	Актив	Прочие активы	Имущество и оборудование	36443,00
30.04.2015	Актив	Прочие активы	Отсроченный налог на прибыль	68564,00
30.04.2015	Актив	Прочие активы	Прочие необоротные фонды	29078,00
30.04.2015	Пассив	Краткосрочные обязательства	Кредиторская задолженность	-85255,00
30.04.2015	Пассив	Краткосрочные обязательства	Прочие краткосрочные обязательства	-68252,00
30.04.2015	Пассив	Прочие обязательства	Долгосрочная задолженность	-84240,00
30.04.2015	Пассив	Прочие обязательства	Акционерный капитал	-86463,00
31.05.2015	Актив	Оборотные средства	Касса	54538,00
31.05.2015	Актив	Оборотные средства	Дебиторская задолженность	50418,00
31.05.2015	Актив	Оборотные средства	Материально-производственные запасы	29433,00
31.05.2015	Актив	Оборотные средства	Уплаченные ранее расходы и другое	5768,00
31.05.2015	Актив	Оборотные средства	Отсроченный налог на прибыль	28256,00
31.05.2015	Актив	Прочие активы	Имущество и оборудование	11089,00
31.05.2015	Актив	Прочие активы	Отсроченный налог на прибыль	68102,00
31.05.2015	Актив	Прочие активы	Прочие необоротные фонды	1695,00
31.05.2015	Пассив	Краткосрочные обязательства	Кредиторская задолженность	-44561,00
31.05.2015	Пассив	Краткосрочные обязательства	Прочие краткосрочные обязательства	-70494,00
31.05.2015	Пассив	Прочие обязательства	Долгосрочная задолженность	-72384,00
31.05.2015	Пассив	Прочие обязательства	Акционерный капитал	-61860,00
30.06.2015	Актив	Оборотные средства	Касса	64663,00
30.06.2015	Актив	Оборотные средства	Дебиторская задолженность	29902,00
30.06.2015	Актив	Оборотные средства	Материально-производственные запасы	34396,00
30.06.2015	Актив	Оборотные средства	Уплаченные ранее расходы и другое	19062,00
30.06.2015	Актив	Оборотные средства	Отсроченный налог на прибыль	11250,00
30.06.2015	Актив	Прочие активы	Имущество и оборудование	39928,00
30.06.2015	Актив	Прочие активы	Отсроченный налог на прибыль	21856,00
30.06.2015	Актив	Прочие активы	Прочие необоротные фонды	19241,00
30.06.2015	Пассив	Краткосрочные обязательства	Кредиторская задолженность	-78963,00
30.06.2015	Пассив	Краткосрочные обязательства	Прочие краткосрочные обязательства	-60743,00
30.06.2015	Пассив	Прочие обязательства	Долгосрочная задолженность	-79767,00
30.06.2015	Пассив	Прочие обязательства	Акционерный капитал	-20825,00
31.07.2015	Актив	Оборотные средства	Касса	71026,00
31.07.2015	Актив	Оборотные средства	Дебиторская задолженность	31860,00
31.07.2015	Актив	Оборотные средства	Материально-производственные запасы	27524,00
31.07.2015	Актив	Оборотные средства	Уплаченные ранее расходы и другое	17691,00
31.07.2015	Актив	Оборотные средства	Отсроченный налог на прибыль	40307,00
31.07.2015	Актив	Прочие активы	Имущество и оборудование	45232,00
31.07.2015	Актив	Прочие активы	Отсроченный налог на прибыль	38037,00
31.07.2015	Актив	Прочие активы	Прочие необоротные фонды	14667,00
31.07.2015	Пассив	Краткосрочные обязательства	Кредиторская задолженность	-64782,00
31.07.2015	Пассив	Краткосрочные обязательства	Прочие краткосрочные обязательства	-81941,00
31.07.2015	Пассив	Прочие обязательства	Долгосрочная задолженность	-62533,00
31.07.2015	Пассив	Прочие обязательства	Акционерный капитал	-77088,00
31.08.2015	Актив	Оборотные средства	Касса	45391,00
31.08.2015	Актив	Оборотные средства	Дебиторская задолженность	37293,00
31.08.2015	Актив	Оборотные средства	Материально-производственные запасы	885,00
31.08.2015	Актив	Оборотные средства	Уплаченные ранее расходы и другое	43552,00
31.08.2015	Актив	Оборотные средства	Отсроченный налог на прибыль	27782,00
31.08.2015	Актив	Прочие активы	Имущество и оборудование	36528,00
31.08.2015	Актив	Прочие активы	Отсроченный налог на прибыль	48825,00
