Дата	Раздел	Подраздел	Направление	Код направления	План	Факт
31.03.2015	АКТИВЫ	Ценные бумаги	Операции с ценными бумагами	1030	-55264,83	-51130,83
28.02.2015	АКТИВЫ	Ценные бумаги	Операции с ценными бумагами	1030	-79846,79	-78266,79
31.03.2015	АКТИВЫ	Ценные бумаги	Операции с ценными бумагами	1030	-52762,73	-56494,73
28.02.2015	АКТИВЫ	Ценные бумаги	Операции с ценными бумагами	1030	-32217,60	-30446,60
31.03.2015	АКТИВЫ	Ценные бумаги	Операции с ценными бумагами	1030	-7849,09	-7744,09
31.03.2015	АКТИВЫ	Ценные бумаги	Операции с ценными бумагами	1030	-62775,55	-66566,55
31.03.2015	АКТИВЫ	Ценные бумаги	Операции с ценными бумагами	1030	-55598,02	-58455,02
31.03.2015	АКТИВЫ	Ценные бумаги	Операции с ценными бумагами	1030	-45065,46	-48786,46
31.03.2015	АКТИВЫ	Ценные бумаги	Операции с ценными бумагами	1030	-44809,09	-43061,09
31.03.2015	АКТИВЫ	Ценные бумаги	Операции с ценными бумагами	1030	-6969,98	-6724,98
31.03.2015	АКТИВЫ	Ценные бумаги	Операции с ценными бумагами	1030	-30298,17	-31841,17
31.03.2015	АКТИВЫ	Ценные бумаги	Операции с ценными бумагами	1030	-3219,61	-3077,61
31.03.2015	АКТИВЫ	Ценные бумаги	Операции с ценными бумагами	1030	-60663,21	-66235,21
28.02.2015	АКТИВЫ	Ценные бумаги	Операции с ценными бумагами	1030	-71070,46	-72229,46
31.03.2015	АКТИВЫ	Ценные бумаги	Операции с ценными бумагами	1030	-52805,60	-51931,60
31.03.2015	АКТИВЫ	Ценные бумаги	Операции с ценными бумагами	1030	-41164,43	-43548,43
28.02.2015	АКТИВЫ	Ценные бумаги	Операции с ценными бумагами	1030	-25986,62	-25647,62
31.03.2015	АКТИВЫ	Ценные бумаги	Операции с ценными бумагами	1030	-26289,00	-26704,00
31.03.2015	АКТИВЫ	Ценные бумаги	Операции с ценными бумагами	1030	-17636,63	-17409,63
31.03.2015	АКТИВЫ	Ценные бумаги	Операции с ценными бумагами	1030	-46757,02	-44145,02
31.03.2015	АКТИВЫ	Ценные бумаги	Операции с ценными бумагами	1030	-36724,35	-39472,35
28.02.2015	АКТИВЫ	Ценные бумаги	Операции с ценными бумагами	1030	-5051,40	-5494,40
28.02.2015	ПАССИВЫ	Резервы	Операции с ценными бумагами	1030	25116,72	25868,72
28.02.2015	ПАССИВЫ	Выпущенные в обращение ценные бумаги	Операции с ценными бумагами	1030	2319,21	2461,21
28.02.2015	ПАССИВЫ	Выпущенные в обращение ценные бумаги	Операции с ценными бумагами	1030	98061,34	88846,34
28.02.2015	ПАССИВЫ	Выпущенные в обращение ценные бумаги	Операции с ценными бумагами	1030	81522,92	81603,92
28.02.2015	ПАССИВЫ	Выпущенные в обращение ценные бумаги	Операции с ценными бумагами	1030	57747,82	57637,82
28.02.2015	ПАССИВЫ	Выпущенные в обращение ценные бумаги	Операции с ценными бумагами	1030	62445,28	67702,28
28.02.2015	ПАССИВЫ	Выпущенные в обращение ценные бумаги	Операции с ценными бумагами	1030	96195,74	99593,74
28.02.2015	ПАССИВЫ	Выпущенные в обращение ценные бумаги	Операции с ценными бумагами	1030	59542,09	62687,09
28.02.2015	ПАССИВЫ	Выпущенные в обращение ценные бумаги	Операции с ценными бумагами	1030	83994,47	91712,47
28.02.2015	ПАССИВЫ	Выпущенные в обращение ценные бумаги	Операции с ценными бумагами	1030	30805,21	31756,21
28.02.2015	ПАССИВЫ	Выпущенные в обращение ценные бумаги	Операции с ценными бумагами	1030	59098,43	57385,43
28.02.2015	ПАССИВЫ	Выпущенные в обращение ценные бумаги	Операции с ценными бумагами	1030	26824,36	27116,36
28.02.2015	ПАССИВЫ	Выпущенные в обращение ценные бумаги	Операции с ценными бумагами	1030	63211,10	65710,10
28.02.2015	ПАССИВЫ	Резервы	Операции с ценными бумагами	1030	77446,69	71470,69
31.01.2015	ПАССИВЫ	Резервы	Операции с ценными бумагами	1030	61234,10	58248,10
31.03.2015	ПАССИВЫ	Выпущенные в обращение ценные бумаги	Операции с ценными бумагами	1030	16846,49	16519,49
31.03.2015	ПАССИВЫ	Выпущенные в обращение ценные бумаги	Операции с ценными бумагами	1030	70481,88	71515,88
31.03.2015	ПАССИВЫ	Выпущенные в обращение ценные бумаги	Операции с ценными бумагами	1030	23703,63	25695,63
31.03.2015	ПАССИВЫ	Выпущенные в обращение ценные бумаги	Операции с ценными бумагами	1030	14516,50	14324,50
31.03.2015	ПАССИВЫ	Выпущенные в обращение ценные бумаги	Операции с ценными бумагами	1030	87719,56	80751,56
31.03.2015	ПАССИВЫ	Выпущенные в обращение ценные бумаги	Операции с ценными бумагами	1030	14918,30	15771,30
31.03.2015	ПАССИВЫ	Выпущенные в обращение ценные бумаги	Операции с ценными бумагами	1030	33742,46	34736,46
31.03.2015	ПАССИВЫ	Выпущенные в обращение ценные бумаги	Операции с ценными бумагами	1030	5863,04	5652,04
31.03.2015	ПАССИВЫ	Выпущенные в обращение ценные бумаги	Операции с ценными бумагами	1030	2007,38	1878,38
31.03.2015	ПАССИВЫ	Выпущенные в обращение ценные бумаги	Операции с ценными бумагами	1030	35602,28	33269,28
31.03.2015	ПАССИВЫ	Выпущенные в обращение ценные бумаги	Операции с ценными бумагами	1030	71104,72	71839,72
31.03.2015	ПАССИВЫ	Выпущенные в обращение ценные бумаги	Операции с ценными бумагами	1030	40621,97	37725,97
31.03.2015	ПАССИВЫ	Резервы	Операции с ценными бумагами	1030	95401,38	96139,38
31.03.2015	ПАССИВЫ	Резервы	Операции с ценными бумагами	1030	58056,32	55689,32
31.03.2015	АКТИВЫ	Ценные бумаги	Операции с ценными бумагами	1030	-45364,48	-47599,48
31.03.2015	АКТИВЫ	Ценные бумаги	Операции с ценными бумагами	1030	-60385,72	-59773,72
31.03.2015	АКТИВЫ	Ценные бумаги	Операции с ценными бумагами	1030	-21433,86	-21125,86
31.03.2015	АКТИВЫ	Ценные бумаги	Операции с ценными бумагами	1030	-38858,18	-38062,18
31.03.2015	АКТИВЫ	Ценные бумаги	Операции с ценными бумагами	1030	-43132,17	-43080,17
31.03.2015	АКТИВЫ	Ценные бумаги	Операции с ценными бумагами	1030	-17960,79	-19320,79
31.03.2015	АКТИВЫ	Ценные бумаги	Операции с ценными бумагами	1030	-9870,74	-9435,74
31.03.2015	АКТИВЫ	Ценные бумаги	Операции с ценными бумагами	1030	-77471,44	-76952,44
31.03.2015	АКТИВЫ	Ценные бумаги	Операции с ценными бумагами	1030	-63927,90	-61419,90
31.03.2015	АКТИВЫ	Ценные бумаги	Операции с ценными бумагами	1030	-12839,62	-11823,62
31.03.2015	АКТИВЫ	Ценные бумаги	Операции с ценными бумагами	1030	-34843,81	-37027,81
31.03.2015	АКТИВЫ	Ценные бумаги	Операции с ценными бумагами	1030	-57986,73	-56514,73
31.03.2015	АКТИВЫ	Ценные бумаги	Операции с ценными бумагами	1030	-64626,12	-60415,12
31.03.2015	АКТИВЫ	Ценные бумаги	Операции с ценными бумагами	1030	-69981,58	-71132,58
31.03.2015	АКТИВЫ	Ценные бумаги	Операции с ценными бумагами	1030	-25997,71	-26431,71
31.01.2015	ПАССИВЫ	Резервы	Операции с ценными бумагами	1030	11968,24	11839,24
31.03.2015	АКТИВЫ	Ценные бумаги	Операции с ценными бумагами	1030	-25107,99	-26681,99
31.03.2015	АКТИВЫ	Ценные бумаги	Операции с ценными бумагами	1030	-42437,74	-44947,74
31.01.2015	ПАССИВЫ	Выпущенные в обращение ценные бумаги	Операции с ценными бумагами	1030	28157,28	27280,28
31.01.2015	ПАССИВЫ	Выпущенные в обращение ценные бумаги	Операции с ценными бумагами	1030	53797,93	53551,93
31.01.2015	ПАССИВЫ	Выпущенные в обращение ценные бумаги	Операции с ценными бумагами	1030	70555,49	73159,49
31.01.2015	ПАССИВЫ	Выпущенные в обращение ценные бумаги	Операции с ценными бумагами	1030	46562,54	48057,54
31.01.2015	ПАССИВЫ	Выпущенные в обращение ценные бумаги	Операции с ценными бумагами	1030	11810,58	10929,58
31.01.2015	ПАССИВЫ	Выпущенные в обращение ценные бумаги	Операции с ценными бумагами	1030	12839,76	14024,76
31.01.2015	ПАССИВЫ	Выпущенные в обращение ценные бумаги	Операции с ценными бумагами	1030	20415,84	22179,84
31.01.2015	ПАССИВЫ	Выпущенные в обращение ценные бумаги	Операции с ценными бумагами	1030	25103,03	25271,03
31.01.2015	ПАССИВЫ	Выпущенные в обращение ценные бумаги	Операции с ценными бумагами	1030	57973,24	63698,24
31.01.2015	ПАССИВЫ	Выпущенные в обращение ценные бумаги	Операции с ценными бумагами	1030	76297,18	74086,18
31.01.2015	ПАССИВЫ	Выпущенные в обращение ценные бумаги	Операции с ценными бумагами	1030	35704,43	35953,43
31.01.2015	ПАССИВЫ	Выпущенные в обращение ценные бумаги	Операции с ценными бумагами	1030	74323,92	78425,92
31.03.2015	АКТИВЫ	Ценные бумаги	Операции с ценными бумагами	1030	-77963,62	-74264,62
28.02.2015	АКТИВЫ	Ценные бумаги	Операции с ценными бумагами	1030	-25215,42	-23690,42
31.01.2015	АКТИВЫ	Ценные бумаги	Операции с ценными бумагами	1030	-43937,72	-42930,72
31.01.2015	АКТИВЫ	Ценные бумаги	Операции с ценными бумагами	1030	-9276,71	-8768,71
31.01.2015	АКТИВЫ	Ценные бумаги	Операции с ценными бумагами	1030	-38712,74	-36994,74
31.01.2015	АКТИВЫ	Ценные бумаги	Операции с ценными бумагами	1030	-19283,35	-17735,35
31.01.2015	АКТИВЫ	Ценные бумаги	Операции с ценными бумагами	1030	-16897,39	-18245,39
31.01.2015	АКТИВЫ	Ценные бумаги	Операции с ценными бумагами	1030	-45217,63	-47623,63
31.01.2015	АКТИВЫ	Ценные бумаги	Операции с ценными бумагами	1030	-31901,87	-29336,87
31.01.2015	АКТИВЫ	Ценные бумаги	Операции с ценными бумагами	1030	-44102,94	-46829,94
31.01.2015	АКТИВЫ	Ценные бумаги	Операции с ценными бумагами	1030	-68688,24	-66843,24
31.01.2015	АКТИВЫ	Ценные бумаги	Операции с ценными бумагами	1030	-10040,91	-10850,91
31.01.2015	АКТИВЫ	Ценные бумаги	Операции с ценными бумагами	1030	-3526,44	-3676,44
31.01.2015	АКТИВЫ	Ценные бумаги	Операции с ценными бумагами	1030	-79281,81	-72674,81
31.01.2015	АКТИВЫ	Ценные бумаги	Операции с ценными бумагами	1030	-22708,72	-23999,72
31.01.2015	АКТИВЫ	Ценные бумаги	Операции с ценными бумагами	1030	-56011,18	-57566,18
31.01.2015	АКТИВЫ	Ценные бумаги	Операции с ценными бумагами	1030	-2292,95	-2452,95
31.01.2015	АКТИВЫ	Ценные бумаги	Операции с ценными бумагами	1030	-54746,37	-52164,37
28.02.2015	АКТИВЫ	Ценные бумаги	Операции с ценными бумагами	1030	-57526,71	-61739,71
28.02.2015	АКТИВЫ	Ценные бумаги	Операции с ценными бумагами	1030	-26710,35	-24849,35
28.02.2015	АКТИВЫ	Ценные бумаги	Операции с ценными бумагами	1030	-19210,82	-17304,82
28.02.2015	АКТИВЫ	Ценные бумаги	Операции с ценными бумагами	1030	-46417,27	-50671,27
28.02.2015	АКТИВЫ	Ценные бумаги	Операции с ценными бумагами	1030	-40894,59	-41164,59
28.02.2015	АКТИВЫ	Ценные бумаги	Операции с ценными бумагами	1030	-42661,56	-40715,56
28.02.2015	АКТИВЫ	Ценные бумаги	Операции с ценными бумагами	1030	-36060,43	-38884,43
28.02.2015	АКТИВЫ	Ценные бумаги	Операции с ценными бумагами	1030	-6380,73	-6134,73
28.02.2015	АКТИВЫ	Ценные бумаги	Операции с ценными бумагами	1030	-42076,87	-39528,87
28.02.2015	АКТИВЫ	Ценные бумаги	Операции с ценными бумагами	1030	-53858,75	-55230,75
28.02.2015	АКТИВЫ	Ценные бумаги	Операции с ценными бумагами	1030	-3736,02	-3778,02
28.02.2015	АКТИВЫ	Ценные бумаги	Операции с ценными бумагами	1030	-68337,93	-64096,93
28.02.2015	АКТИВЫ	Ценные бумаги	Операции с ценными бумагами	1030	-43702,12	-46333,12
28.02.2015	АКТИВЫ	Ценные бумаги	Операции с ценными бумагами	1030	-15403,24	-15228,24
28.02.2015	АКТИВЫ	Ценные бумаги	Операции с ценными бумагами	1030	-12128,38	-11858,38
28.02.2015	АКТИВЫ	Ценные бумаги	Операции с ценными бумагами	1030	-9714,38	-10632,38
28.02.2015	АКТИВЫ	Ценные бумаги	Операции с ценными бумагами	1030	-61826,71	-58351,71
31.01.2015	АКТИВЫ	Ценные бумаги	Операции с ценными бумагами	1030	-47253,59	-45942,59
31.01.2015	АКТИВЫ	Ценные бумаги	Операции с ценными бумагами	1030	-75280,08	-68329,08
31.01.2015	АКТИВЫ	Ценные бумаги	Операции с ценными бумагами	1030	-32027,12	-31760,12
31.01.2015	АКТИВЫ	Ценные бумаги	Операции с ценными бумагами	1030	-26866,42	-26104,42
31.01.2015	АКТИВЫ	Ценные бумаги	Операции с ценными бумагами	1030	-5613,48	-5808,48
31.01.2015	АКТИВЫ	Ценные бумаги	Операции с ценными бумагами	1030	-50967,18	-51133,18
31.01.2015	АКТИВЫ	Ценные бумаги	Операции с ценными бумагами	1030	-40365,96	-40666,96
31.01.2015	АКТИВЫ	Ценные бумаги	Операции с ценными бумагами	1030	-50188,72	-53974,72
31.01.2015	АКТИВЫ	Ценные бумаги	Операции с ценными бумагами	1030	-12531,64	-12611,64
31.01.2015	АКТИВЫ	Ценные бумаги	Операции с ценными бумагами	1030	-67544,61	-64213,61
31.01.2015	АКТИВЫ	Ценные бумаги	Операции с ценными бумагами	1030	-24418,15	-26768,15
31.01.2015	АКТИВЫ	Ценные бумаги	Операции с ценными бумагами	1030	-35891,20	-32590,20
28.02.2015	АКТИВЫ	Ценные бумаги	Операции с ценными бумагами	1030	-25633,66	-25261,66
31.01.2015	АКТИВЫ	Ценные бумаги	Операции с ценными бумагами	1030	-10770,69	-10946,69
31.01.2015	АКТИВЫ	Ценные бумаги	Операции с ценными бумагами	1030	-66338,85	-67242,85
31.01.2015	АКТИВЫ	Ценные бумаги	Операции с ценными бумагами	1030	-14447,55	-13645,55
31.01.2015	АКТИВЫ	Ценные бумаги	Операции с ценными бумагами	1030	-1022,18	-971,18
31.01.2015	АКТИВЫ	Ценные бумаги	Операции с ценными бумагами	1030	-47468,72	-47400,72
31.01.2015	АКТИВЫ	Ценные бумаги	Операции с ценными бумагами	1030	-141,59	-149,59
31.01.2015	АКТИВЫ	Ценные бумаги	Операции с ценными бумагами	1030	-22863,58	-20579,58
31.01.2015	АКТИВЫ	Ценные бумаги	Операции с ценными бумагами	1030	-46147,92	-45438,92
31.01.2015	АКТИВЫ	Ценные бумаги	Операции с ценными бумагами	1030	-35640,67	-37971,67
31.01.2015	АКТИВЫ	Ценные бумаги	Операции с ценными бумагами	1030	-10467,97	-11018,97
31.01.2015	АКТИВЫ	Ценные бумаги	Операции с ценными бумагами	1030	-36126,01	-34036,01
31.01.2015	АКТИВЫ	Ценные бумаги	Операции с ценными бумагами	1030	-14566,67	-14040,67
31.01.2015	АКТИВЫ	Ценные бумаги	Операции с ценными бумагами	1030	-35629,53	-32264,53
31.01.2015	АКТИВЫ	Ценные бумаги	Операции с ценными бумагами	1030	-12163,60	-13103,60
31.01.2015	АКТИВЫ	Ценные бумаги	Операции с ценными бумагами	1030	-67479,41	-73720,41
31.01.2015	АКТИВЫ	Ценные бумаги	Операции с ценными бумагами	1030	-59143,73	-61927,73
31.01.2015	АКТИВЫ	Ценные бумаги	Операции с ценными бумагами	1030	-51241,45	-47783,45
31.01.2015	АКТИВЫ	Ценные бумаги	Операции с ценными бумагами	1030	-63663,00	-58586,00
31.01.2015	АКТИВЫ	Ценные бумаги	Операции с ценными бумагами	1030	-55779,12	-57059,12
31.01.2015	АКТИВЫ	Ценные бумаги	Операции с ценными бумагами	1030	-62567,97	-66174,97
28.02.2015	АКТИВЫ	Ценные бумаги	Операции с ценными бумагами	1030	-32950,77	-31575,77
28.02.2015	АКТИВЫ	Ценные бумаги	Операции с ценными бумагами	1030	-16998,88	-15668,88
28.02.2015	АКТИВЫ	Ценные бумаги	Операции с ценными бумагами	1030	-29173,14	-30609,14
28.02.2015	АКТИВЫ	Ценные бумаги	Операции с ценными бумагами	1030	-46273,21	-41951,21
28.02.2015	АКТИВЫ	Ценные бумаги	Операции с ценными бумагами	1030	-66125,26	-62919,26
28.02.2015	АКТИВЫ	Ценные бумаги	Операции с ценными бумагами	1030	-17354,42	-17756,42
28.02.2015	АКТИВЫ	Ценные бумаги	Операции с ценными бумагами	1030	-18580,64	-18955,64
28.02.2015	АКТИВЫ	Ценные бумаги	Операции с ценными бумагами	1030	-73058,73	-68338,73
28.02.2015	АКТИВЫ	Ценные бумаги	Операции с ценными бумагами	1030	-6669,17	-7326,17
28.02.2015	АКТИВЫ	Ценные бумаги	Операции с ценными бумагами	1030	-74786,50	-71140,50
28.02.2015	АКТИВЫ	Ценные бумаги	Операции с ценными бумагами	1030	-28831,89	-28531,89
28.02.2015	АКТИВЫ	Ценные бумаги	Операции с ценными бумагами	1030	-53584,35	-56139,35
28.02.2015	АКТИВЫ	Ценные бумаги	Операции с ценными бумагами	1030	-15095,82	-15992,82
28.02.2015	АКТИВЫ	Ценные бумаги	Операции с ценными бумагами	1030	-54651,49	-50699,49
28.02.2015	АКТИВЫ	Ценные бумаги	Операции с ценными бумагами	1030	-26380,09	-25493,09
28.02.2015	АКТИВЫ	Ценные бумаги	Операции с ценными бумагами	1030	-54919,22	-58883,22
