Дата	Дебет	Кредит	Остаток	Контрагент	Счет	Индустрия	Филиал
03.05.2015	40100,00	34988,00	5112,00	Инжиниринг Центр	0001_USD_КРЕД_17700	Информационные технологии	Московский филиал
03.05.2015	55900,00	55186,00	714,00	Инкар	0001_USD_КРЕД_1700/1	Информационные технологии	Краснодарский филиал
03.05.2015	70700,00	75860,00	-5160,00	Инкар	0001_USD_КРЕД_1700/2	Информационные технологии	Краснодарский филиал
03.05.2015	81000,00	76833,00	4167,00	Инкар	0001_USD_КРЕД_1702	Информационные технологии	Краснодарский филиал
03.05.2015	34900,00	38813,00	-3913,00	Инкар	0001_USD_КРЕД_1700/4	Информационные технологии	Краснодарский филиал
03.05.2015	60500,00	67911,00	-7411,00	Инкар	0001_USD_КРЕД_1700/3	Информационные технологии	Краснодарский филиал
03.05.2015	24300,00	21991,00	2309,00	Инкар	0001_RUR_КРЕД_1702	Информационные технологии	Краснодарский филиал
03.05.2015	2500,00	2828,00	-328,00	Камея ЗАО	0001_USD_КРЕД_7801/1	Информационные технологии	Краснодарский филиал
03.05.2015	15800,00	13253,00	2547,00	Квант ООО	0001_USD_КРЕД_7901	Информационные технологии	Краснодарский филиал
03.05.2015	73000,00	82454,00	-9454,00	Коралайн ООО	0001_USD_КРЕД_52011	Промышленность	Краснодарский филиал
03.05.2015	17800,00	21181,00	-3381,00	Ника ЗАО	0001_USD_КРЕД_11800	Промышленность	Краснодарский филиал
03.05.2015	91900,00	85262,00	6638,00	Ника ЛТД	0001_USD_КРЕД_19100	Торговля	Краснодарский филиал
03.05.2015	51000,00	48767,00	2233,00	Нюанс ООО	0001_USD_КРЕД_16000/1	Промышленность	Краснодарский филиал
03.05.2015	95100,00	104309,00	-9209,00	ОАО Белакс	0001_USD_КРЕД_17201	Промышленность	Краснодарский филиал
03.05.2015	95200,00	112389,00	-17189,00	ОАО Рефма	0001_USD_КРЕД_11701	Промышленность	Краснодарский филиал
03.05.2015	99800,00	79902,00	19898,00	ОАО Сигма	0001_USD_КРЕД_6999	Торговля	Краснодарский филиал
03.05.2015	75700,00	62756,00	12944,00	Омега ООО	0001_USD_КРЕД_4601	Торговля	Краснодарский филиал
03.05.2015	17400,00	15653,00	1747,00	ООО Бриз	0001_USD_КРЕД_6200	Промышленность	Екатеринбургский филиал
03.05.2015	4300,00	4400,00	-100,00	ООО Дебют	0001_USD_КРЕД_1301	Информационные технологии	Екатеринбургский филиал
03.05.2015	90700,00	104722,00	-14022,00	ООО Интелеком	0001_USD_КРЕД_8901/1	Информационные технологии	Екатеринбургский филиал
03.05.2015	31100,00	37109,00	-6009,00	ООО Коммир	0001_USD_КРЕД_18902	Промышленность	Екатеринбургский филиал
03.05.2015	29800,00	32847,00	-3047,00	ООО Райдос	0001_RUR_КРЕД_6201/1	Промышленность	Екатеринбургский филиал
03.05.2015	17700,00	14702,00	2998,00	ООО Раминтек	0001_USD_КРЕД_1000	Промышленность	Екатеринбургский филиал
03.05.2015	27800,00	32660,00	-4860,00	ООО Раминтек	0001_USD_КРЕД_10001	Промышленность	Екатеринбургский филиал
03.05.2015	53300,00	61294,00	-7994,00	ООО Раминтек	0001_USD_КРЕД_10003	Промышленность	Екатеринбургский филиал
03.05.2015	97800,00	97898,00	-98,00	ООО Раминтек	0001_USD_КРЕД_10002	Промышленность	Екатеринбургский филиал
03.05.2015	25100,00	26715,00	-1615,00	ООО Рашид	0001_USD_КРЕД_3400/1	Промышленность	Екатеринбургский филиал
03.05.2015	45700,00	37219,00	8481,00	ООО Скорпион	0001_USD_КРЕД_4900/1	Промышленность	Екатеринбургский филиал
03.05.2015	400,00	367,00	33,00	Офтоп ЗАО	0001_USD_КРЕД_16100/1	Торговля	Екатеринбургский филиал
03.05.2015	32800,00	26630,00	6170,00	Перстиж ООО	0001_USD_КРЕД_5901	Торговля	Екатеринбургский филиал
03.05.2015	40400,00	43933,00	-3533,00	Пульс ООО	0001_USD_КРЕД_13000	Торговля	Екатеринбургский филиал
03.05.2015	36900,00	33489,00	3411,00	Пульс ООО	0001_USD_КРЕД_101	Торговля	Екатеринбургский филиал
03.05.2015	67400,00	54483,00	12917,00	Тарос	0001_USD_КРЕД_8001/1	Торговля	Екатеринбургский филиал
03.05.2015	54600,00	48256,00	6344,00	Торговый Дом Pax	0001_USD_КРЕД_13600	Торговля	Екатеринбургский филиал
03.05.2015	13700,00	12624,00	1076,00	Тревел Пак ЗАО	0001_USD_КРЕД_6100	Торговля	Екатеринбургский филиал
03.05.2015	43500,00	40457,00	3043,00	фирма РИК	0001_RUR_КРЕД_41162/1	Промышленность	Екатеринбургский филиал
07.05.2015	74900,00	88892,00	-13992,00	Neo	0001_USD_КРЕД_13200	Промышленность	Санкт-Петербургский филиал
07.05.2015	28700,00	31017,00	-2317,00	Neo	0001_USD_КРЕД_132	Промышленность	Санкт-Петербургский филиал
07.05.2015	17500,00	15928,00	1572,00	Neo	0002_USD_КРЕД_130023	Промышленность	Санкт-Петербургский филиал
07.05.2015	50500,00	56023,00	-5523,00	Neo	0001_USD_КРЕД_200	Промышленность	Санкт-Петербургский филиал
07.05.2015	89600,00	85295,00	4305,00	Neo	0001_USD_КРЕД_130023	Промышленность	Санкт-Петербургский филиал
07.05.2015	73900,00	85877,00	-11977,00	Neo	0002_USD_КРЕД_200	Промышленность	Санкт-Петербургский филиал
07.05.2015	74800,00	77719,00	-2919,00	Neo	0001_USD_КРЕД_700	Промышленность	Санкт-Петербургский филиал
07.05.2015	81000,00	71902,00	9098,00	Neo	0001_USD_КРЕД_7700	Промышленность	Санкт-Петербургский филиал
07.05.2015	63300,00	51489,00	11811,00	Neo	0003_RUR_КРЕД_700	Промышленность	Санкт-Петербургский филиал
07.05.2015	94600,00	81654,00	12946,00	Neo	0003_RUR_КРЕД_7700	Промышленность	Санкт-Петербургский филиал
07.05.2015	37600,00	38357,00	-757,00	Salmon ООО	0001_RUR_КРЕД_801	Промышленность	Санкт-Петербургский филиал
07.05.2015	86600,00	77253,00	9347,00	Salmon ООО	0002_RUR_КРЕД_600	Промышленность	Санкт-Петербургский филиал
07.05.2015	81300,00	79186,00	2114,00	Salmon ООО	0002_RUR_КРЕД_801	Промышленность	Санкт-Петербургский филиал
07.05.2015	37800,00	41823,00	-4023,00	Salmon ООО	0001_RUR_КРЕД_600	Промышленность	Санкт-Петербургский филиал
07.05.2015	85200,00	70780,00	14420,00	Salmon ООО	0002_USD_КРЕД_600	Промышленность	Санкт-Петербургский филиал
07.05.2015	52400,00	44600,00	7800,00	Salmon ООО	0003_RUR_КРЕД_10	Промышленность	Санкт-Петербургский филиал
07.05.2015	36900,00	41915,00	-5015,00	Salmon ООО	0001_RUR_КРЕД_10	Промышленность	Санкт-Петербургский филиал
07.05.2015	76100,00	84684,00	-8584,00	Salmon ООО	0001_RUR_КРЕД_11	Промышленность	Санкт-Петербургский филиал
07.05.2015	23500,00	26684,00	-3184,00	Salmon ООО	0004_RUR_КРЕД_11	Промышленность	Санкт-Петербургский филиал
07.05.2015	72500,00	81022,00	-8522,00	Salmon ООО	0001_RUR_КРЕД_6801/2	Промышленность	Санкт-Петербургский филиал
07.05.2015	91100,00	93659,00	-2559,00	Salmon ООО	0001_RUR_КРЕД_6801/3	Промышленность	Санкт-Петербургский филиал
07.05.2015	20400,00	18820,00	1580,00	Salmon ООО	0001_RUR_КРЕД_6801/1	Промышленность	Санкт-Петербургский филиал
07.05.2015	83800,00	75941,00	7859,00	Salmon ООО	0001_RUR_КРЕД_101	Промышленность	Санкт-Петербургский филиал
07.05.2015	95600,00	81770,00	13830,00	Salmon ООО	0001_RUR_КРЕД_6801/4	Промышленность	Санкт-Петербургский филиал
07.05.2015	66500,00	53841,00	12659,00	Абасков ЗАО	0002_RUR_КРЕД_777	Промышленность	Санкт-Петербургский филиал
07.05.2015	34600,00	40736,00	-6136,00	Абасков ЗАО	0001_USD_КРЕД_777	Промышленность	Санкт-Петербургский филиал
07.05.2015	3400,00	2999,00	401,00	Абасков ЗАО	0003_RUR_КРЕД_888	Промышленность	Санкт-Петербургский филиал
07.05.2015	94700,00	106218,00	-11518,00	Абасков ЗАО	0004_RUR_КРЕД_999	Промышленность	Санкт-Петербургский филиал
07.05.2015	33400,00	39048,00	-5648,00	Абасков ЗАО	0001_USD_КРЕД_999	Промышленность	Санкт-Петербургский филиал
07.05.2015	22900,00	20374,00	2526,00	Абасков ЗАО	0001_USD_КРЕД_7301/1	Промышленность	Санкт-Петербургский филиал
07.05.2015	23100,00	22864,00	236,00	Авантера	0001_USD_КРЕД_17000	Торговля	Санкт-Петербургский филиал
07.05.2015	6800,00	5729,00	1071,00	Азилинин ООО	0001_RUR_КРЕД_16400	Торговля	Санкт-Петербургский филиал
07.05.2015	13800,00	15130,00	-1330,00	Арктур ЗАО	0001_USD_КРЕД_15900/1	Торговля	Санкт-Петербургский филиал
07.05.2015	56600,00	50093,00	6507,00	Вега	0001_USD_КРЕД_901/1	Торговля	Екатеринбургский филиал
07.05.2015	35200,00	30713,00	4487,00	Веритак ООО	0001_USD_КРЕД_19700	Торговля	Екатеринбургский филиал
07.05.2015	28500,00	32892,00	-4392,00	Виалди	0001_USD_КРЕД_8101/1	Торговля	Московский филиал
07.05.2015	70300,00	72350,00	-2050,00	Голд Вест Рейн	0001_USD_КРЕД_2901	Торговля	Московский филиал
07.05.2015	59100,00	59535,00	-435,00	Гончаров&Со	0001_RUR_КРЕД_3601/1	Торговля	Московский филиал
07.05.2015	74900,00	82640,00	-7740,00	Дамид ООО	0001_USD_КРЕД_17601	Торговля	Московский филиал
07.05.2015	30700,00	33584,00	-2884,00	Династия ЗАО	0001_USD_КРЕД_14301/1	Торговля	Московский филиал
07.05.2015	40100,00	35242,00	4858,00	Дружба ЗАО	0001_USD_КРЕД_15600/1	Торговля	Московский филиал
07.05.2015	35500,00	37617,00	-2117,00	Дружба ЗАО	0001_USD_КРЕД_3901/1	Торговля	Московский филиал
07.05.2015	78700,00	80684,00	-1984,00	ЗАО Бородин	0001_USD_КРЕД_2501/1	Торговля	Московский филиал
07.05.2015	93800,00	86989,00	6811,00	ЗАО Монолит	0001_USD_КРЕД_19001	Торговля	Московский филиал
07.05.2015	19100,00	16997,00	2103,00	ЗАО Монолит	0001_USD_КРЕД_3001	Торговля	Московский филиал
07.05.2015	2200,00	2378,00	-178,00	ЗАО Рыболов	0001_USD_КРЕД_1401	Торговля	Московский филиал
07.05.2015	35900,00	38211,00	-2311,00	Инжиниринг Центр	0001_USD_КРЕД_17700	Информационные технологии	Московский филиал
07.05.2015	59800,00	59194,00	606,00	Инкар	0001_USD_КРЕД_1700/1	Информационные технологии	Краснодарский филиал
07.05.2015	15900,00	13333,00	2567,00	Инкар	0001_USD_КРЕД_1700/2	Информационные технологии	Краснодарский филиал
07.05.2015	81700,00	68264,00	13436,00	Инкар	0001_USD_КРЕД_1702	Информационные технологии	Краснодарский филиал
07.05.2015	21800,00	19471,00	2329,00	Инкар	0001_USD_КРЕД_1700/4	Информационные технологии	Краснодарский филиал
07.05.2015	42200,00	45656,00	-3456,00	Инкар	0001_USD_КРЕД_1700/3	Информационные технологии	Краснодарский филиал
07.05.2015	74700,00	64713,00	9987,00	Инкар	0001_RUR_КРЕД_1702	Информационные технологии	Краснодарский филиал
07.05.2015	95900,00	91676,00	4224,00	Камея ЗАО	0001_USD_КРЕД_7801/1	Информационные технологии	Краснодарский филиал
07.05.2015	61500,00	51424,00	10076,00	Квант ООО	0001_USD_КРЕД_7901	Информационные технологии	Краснодарский филиал
07.05.2015	25400,00	23218,00	2182,00	Коралайн ООО	0001_USD_КРЕД_52011	Промышленность	Краснодарский филиал
07.05.2015	69200,00	56342,00	12858,00	Ника ЗАО	0001_USD_КРЕД_11800	Промышленность	Краснодарский филиал
07.05.2015	8800,00	10141,00	-1341,00	Ника ЛТД	0001_USD_КРЕД_19100	Торговля	Краснодарский филиал
07.05.2015	72900,00	86128,00	-13228,00	Нюанс ООО	0001_USD_КРЕД_16000/1	Промышленность	Краснодарский филиал
07.05.2015	93100,00	104559,00	-11459,00	ОАО Белакс	0001_USD_КРЕД_17201	Промышленность	Краснодарский филиал
07.05.2015	80300,00	73416,00	6884,00	ОАО Рефма	0001_USD_КРЕД_11701	Промышленность	Краснодарский филиал
07.05.2015	38900,00	41638,00	-2738,00	ОАО Сигма	0001_USD_КРЕД_6999	Торговля	Краснодарский филиал
07.05.2015	67000,00	61069,00	5931,00	Омега ООО	0001_USD_КРЕД_4601	Торговля	Краснодарский филиал
07.05.2015	99700,00	114008,00	-14308,00	ООО Бриз	0001_USD_КРЕД_6200	Промышленность	Екатеринбургский филиал
07.05.2015	21300,00	24382,00	-3082,00	ООО Дебют	0001_USD_КРЕД_1301	Информационные технологии	Екатеринбургский филиал
07.05.2015	43100,00	50767,00	-7667,00	ООО Интелеком	0001_USD_КРЕД_8901/1	Информационные технологии	Екатеринбургский филиал
07.05.2015	90000,00	105828,00	-15828,00	ООО Коммир	0001_USD_КРЕД_18902	Промышленность	Екатеринбургский филиал
07.05.2015	53900,00	60910,00	-7010,00	ООО Райдос	0001_RUR_КРЕД_6201/1	Промышленность	Екатеринбургский филиал
07.05.2015	71400,00	58602,00	12798,00	ООО Раминтек	0001_USD_КРЕД_1000	Промышленность	Екатеринбургский филиал
07.05.2015	94900,00	88159,00	6741,00	ООО Раминтек	0001_USD_КРЕД_10001	Промышленность	Екатеринбургский филиал
07.05.2015	94600,00	96270,00	-1670,00	ООО Раминтек	0001_USD_КРЕД_10003	Промышленность	Екатеринбургский филиал
07.05.2015	30900,00	35171,00	-4271,00	ООО Раминтек	0001_USD_КРЕД_10002	Промышленность	Екатеринбургский филиал
07.05.2015	1200,00	991,00	209,00	ООО Рашид	0001_USD_КРЕД_3400/1	Промышленность	Екатеринбургский филиал
07.05.2015	38200,00	40892,00	-2692,00	ООО Скорпион	0001_USD_КРЕД_4900/1	Промышленность	Екатеринбургский филиал
07.05.2015	36700,00	31087,00	5613,00	Офтоп ЗАО	0001_USD_КРЕД_16100/1	Торговля	Екатеринбургский филиал
07.05.2015	27900,00	22568,00	5332,00	Перстиж ООО	0001_USD_КРЕД_5901	Торговля	Екатеринбургский филиал
07.05.2015	11000,00	11464,00	-464,00	Пульс ООО	0001_USD_КРЕД_13000	Торговля	Екатеринбургский филиал
07.05.2015	31900,00	27647,00	4253,00	Пульс ООО	0001_USD_КРЕД_101	Торговля	Екатеринбургский филиал
07.05.2015	55000,00	45617,00	9383,00	Тарос	0001_USD_КРЕД_8001/1	Торговля	Екатеринбургский филиал
07.05.2015	36400,00	35647,00	753,00	Торговый Дом Pax	0001_USD_КРЕД_13600	Торговля	Екатеринбургский филиал
07.05.2015	39000,00	40187,00	-1187,00	Тревел Пак ЗАО	0001_USD_КРЕД_6100	Торговля	Екатеринбургский филиал
07.05.2015	75100,00	61583,00	13517,00	фирма РИК	0001_RUR_КРЕД_41162/1	Промышленность	Екатеринбургский филиал
08.05.2015	59600,00	53591,00	6009,00	Neo	0001_USD_КРЕД_13200	Промышленность	Санкт-Петербургский филиал
08.05.2015	14600,00	13022,00	1578,00	Neo	0001_USD_КРЕД_132	Промышленность	Санкт-Петербургский филиал
08.05.2015	94900,00	91828,00	3072,00	Neo	0002_USD_КРЕД_130023	Промышленность	Санкт-Петербургский филиал
08.05.2015	20200,00	16322,00	3878,00	Neo	0001_USD_КРЕД_200	Промышленность	Санкт-Петербургский филиал
08.05.2015	58800,00	50377,00	8423,00	Neo	0001_USD_КРЕД_130023	Промышленность	Санкт-Петербургский филиал
08.05.2015	37700,00	38806,00	-1106,00	Neo	0002_USD_КРЕД_200	Промышленность	Санкт-Петербургский филиал
08.05.2015	52500,00	57003,00	-4503,00	Neo	0001_USD_КРЕД_700	Промышленность	Санкт-Петербургский филиал
08.05.2015	34800,00	30957,00	3843,00	Neo	0001_USD_КРЕД_7700	Промышленность	Санкт-Петербургский филиал
08.05.2015	66900,00	61141,00	5759,00	Neo	0003_RUR_КРЕД_700	Промышленность	Санкт-Петербургский филиал
08.05.2015	57700,00	62362,00	-4662,00	Neo	0003_RUR_КРЕД_7700	Промышленность	Санкт-Петербургский филиал
08.05.2015	49000,00	40426,00	8574,00	Salmon ООО	0001_RUR_КРЕД_801	Промышленность	Санкт-Петербургский филиал
08.05.2015	48100,00	42239,00	5861,00	Salmon ООО	0002_RUR_КРЕД_600	Промышленность	Санкт-Петербургский филиал
08.05.2015	92800,00	98563,00	-5763,00	Salmon ООО	0002_RUR_КРЕД_801	Промышленность	Санкт-Петербургский филиал
08.05.2015	42500,00	50817,00	-8317,00	Salmon ООО	0001_RUR_КРЕД_600	Промышленность	Санкт-Петербургский филиал
08.05.2015	45600,00	36997,00	8603,00	Salmon ООО	0002_USD_КРЕД_600	Промышленность	Санкт-Петербургский филиал
08.05.2015	38200,00	39520,00	-1320,00	Salmon ООО	0003_RUR_КРЕД_10	Промышленность	Санкт-Петербургский филиал
08.05.2015	88900,00	94036,00	-5136,00	Salmon ООО	0001_RUR_КРЕД_10	Промышленность	Санкт-Петербургский филиал
08.05.2015	15600,00	17512,00	-1912,00	Salmon ООО	0001_RUR_КРЕД_11	Промышленность	Санкт-Петербургский филиал
08.05.2015	54100,00	62347,00	-8247,00	Salmon ООО	0004_RUR_КРЕД_11	Промышленность	Санкт-Петербургский филиал
08.05.2015	78800,00	82147,00	-3347,00	Salmon ООО	0001_RUR_КРЕД_6801/2	Промышленность	Санкт-Петербургский филиал
08.05.2015	62300,00	62068,00	232,00	Salmon ООО	0001_RUR_КРЕД_6801/3	Промышленность	Санкт-Петербургский филиал
08.05.2015	63300,00	60313,00	2987,00	Salmon ООО	0001_RUR_КРЕД_6801/1	Промышленность	Санкт-Петербургский филиал
08.05.2015	42900,00	44046,00	-1146,00	Salmon ООО	0001_RUR_КРЕД_101	Промышленность	Санкт-Петербургский филиал
08.05.2015	10100,00	11145,00	-1045,00	Salmon ООО	0001_RUR_КРЕД_6801/4	Промышленность	Санкт-Петербургский филиал
08.05.2015	38700,00	36172,00	2528,00	Абасков ЗАО	0002_RUR_КРЕД_777	Промышленность	Санкт-Петербургский филиал
08.05.2015	24700,00	21805,00	2895,00	Абасков ЗАО	0001_USD_КРЕД_777	Промышленность	Санкт-Петербургский филиал
08.05.2015	72300,00	81335,00	-9035,00	Абасков ЗАО	0003_RUR_КРЕД_888	Промышленность	Санкт-Петербургский филиал
08.05.2015	68900,00	63873,00	5027,00	Абасков ЗАО	0004_RUR_КРЕД_999	Промышленность	Санкт-Петербургский филиал
08.05.2015	71800,00	86151,00	-14351,00	Абасков ЗАО	0001_USD_КРЕД_999	Промышленность	Санкт-Петербургский филиал
08.05.2015	64200,00	69479,00	-5279,00	Абасков ЗАО	0001_USD_КРЕД_7301/1	Промышленность	Санкт-Петербургский филиал
08.05.2015	91000,00	98691,00	-7691,00	Авантера	0001_USD_КРЕД_17000	Торговля	Санкт-Петербургский филиал
08.05.2015	1400,00	1494,00	-94,00	Азилинин ООО	0001_RUR_КРЕД_16400	Торговля	Санкт-Петербургский филиал
08.05.2015	58900,00	52732,00	6168,00	Арктур ЗАО	0001_USD_КРЕД_15900/1	Торговля	Санкт-Петербургский филиал
08.05.2015	91400,00	87094,00	4306,00	Вега	0001_USD_КРЕД_901/1	Торговля	Екатеринбургский филиал
08.05.2015	70600,00	84710,00	-14110,00	Веритак ООО	0001_USD_КРЕД_19700	Торговля	Екатеринбургский филиал
08.05.2015	80300,00	74056,00	6244,00	Виалди	0001_USD_КРЕД_8101/1	Торговля	Московский филиал
08.05.2015	1100,00	1261,00	-161,00	Голд Вест Рейн	0001_USD_КРЕД_2901	Торговля	Московский филиал
08.05.2015	89300,00	98302,00	-9002,00	Гончаров&Со	0001_RUR_КРЕД_3601/1	Торговля	Московский филиал
08.05.2015	65800,00	55051,00	10749,00	Дамид ООО	0001_USD_КРЕД_17601	Торговля	Московский филиал
08.05.2015	15800,00	18131,00	-2331,00	Династия ЗАО	0001_USD_КРЕД_14301/1	Торговля	Московский филиал
08.05.2015	15300,00	15681,00	-381,00	Дружба ЗАО	0001_USD_КРЕД_15600/1	Торговля	Московский филиал
08.05.2015	21600,00	20335,00	1265,00	Дружба ЗАО	0001_USD_КРЕД_3901/1	Торговля	Московский филиал
08.05.2015	97900,00	85338,00	12562,00	ЗАО Бородин	0001_USD_КРЕД_2501/1	Торговля	Московский филиал
08.05.2015	62000,00	71581,00	-9581,00	ЗАО Монолит	0001_USD_КРЕД_19001	Торговля	Московский филиал
08.05.2015	87800,00	83371,00	4429,00	ЗАО Монолит	0001_USD_КРЕД_3001	Торговля	Московский филиал
08.05.2015	1400,00	1644,00	-244,00	ЗАО Рыболов	0001_USD_КРЕД_1401	Торговля	Московский филиал
08.05.2015	35100,00	37079,00	-1979,00	Инжиниринг Центр	0001_USD_КРЕД_17700	Информационные технологии	Московский филиал
08.05.2015	24900,00	29158,00	-4258,00	Инкар	0001_USD_КРЕД_1700/1	Информационные технологии	Краснодарский филиал
08.05.2015	61400,00	50929,00	10471,00	Инкар	0001_USD_КРЕД_1700/2	Информационные технологии	Краснодарский филиал
08.05.2015	45500,00	50001,00	-4501,00	Инкар	0001_USD_КРЕД_1702	Информационные технологии	Краснодарский филиал
08.05.2015	97700,00	96780,00	920,00	Инкар	0001_USD_КРЕД_1700/4	Информационные технологии	Краснодарский филиал
08.05.2015	91900,00	76690,00	15210,00	Инкар	0001_USD_КРЕД_1700/3	Информационные технологии	Краснодарский филиал
08.05.2015	5500,00	6166,00	-666,00	Инкар	0001_RUR_КРЕД_1702	Информационные технологии	Краснодарский филиал
08.05.2015	24200,00	20182,00	4018,00	Камея ЗАО	0001_USD_КРЕД_7801/1	Информационные технологии	Краснодарский филиал
08.05.2015	23800,00	24389,00	-589,00	Квант ООО	0001_USD_КРЕД_7901	Информационные технологии	Краснодарский филиал
